Sampling site	N (weeks)	SARS-CoV-2 R (Raw)	SARS-CoV-2 p (Raw)	SARS-CoV-2 R (PMMoV)	SARS-CoV-2 p (PMMoV)	SARS-CoV-2 R (ToBRFV)	SARS-CoV-2 p (ToBRFV)	Influenza A R (Raw)	Influenza A p (Raw)	Influenza A R (PMMoV)	Influenza A p (PMMoV)	Influenza A R (ToBRFV)	Influenza A p (ToBRFV)	RSV R (Raw)	RSV p (Raw)	RSV R (PMMoV)	RSV p (PMMoV)	RSV R (ToBRFV)	RSV p (ToBRFV)	Median PCR freq (days)	Median MGS freq (days)
Monett WWTP, MO	24	0.8382608695652173	3.1658476949680063e-07	0.7182608695652173	7.729232039807734e-05	0.5304347826086956	0.007665625679948597	0.6052099385894467	0.002214798394886972	0.6052099385894467	0.002214798394886972	0.6052099385894467	0.002214798394886972	0.3224111636798169	0.12440772198154329	0.3224111636798169	0.12440772198154329	0.3224111636798169	0.12440772198154329	7	7
Ontario, CA	17	0.9558823529411765	2.205647902228167e-09	0.8210784313725491	5.346351701144894e-05	0.9166666666666667	2.317116555636978e-07	0.9101633945482351	3.993131291984897e-07	0.9075059831772913	4.929801766847217e-07	0.9061772774918194	5.464717734763122e-07	0.21387927969932333	0.40978071490879	0.33151288353395114	0.19364205419391037	0.4184013409118013	0.09463936686563894	2	5
Palo Alto RWQCP, CA	18	0.9690402476780186	3.851406014182882e-11	0.9896800825593396	6.262894222146963e-15	0.981424148606811	6.725639702470495e-13	0.8872821459413913	9.14865296201227e-07	0.835575727180238	1.581588250400688e-05	0.835575727180238	1.581588250400688e-05	0.9236326109391124	4.568456687421577e-08	0.9463364293085655	2.9205055771851396e-09	0.9566563467492261	5.46578066361063e-10	1	7
Riverside WQCP, CA	56	0.503691045796309	7.580425903679987e-05	0.8901572112098428	4.451764090813922e-20	0.838961038961039	6.876681280468073e-16	0.7605634128900496	1.0419605498042898e-11	0.7877540297693397	5.884278777613384e-13	0.7838847311189879	9.0813340910608e-13	0.9038563836710436	1.461797544404104e-21	0.9090535849747239	3.4900223362355054e-22	0.8958211034240511	1.1486938671542166e-20	2	4
Sacramento, CA	18	0.9690402476780186	3.851406014182882e-11	0.9566563467492261	5.46578066361063e-10	0.9669762641898865	6.412439256727504e-11	0.90854157994161	1.841536786127667e-07	0.8399331768796577	1.2944359775569993e-05	0.7962732840220517	7.69750219806667e-05	0.9303083049107274	2.2451843295705744e-08	0.9303083049107274	2.2451843295705744e-08	0.9303083049107274	2.2451843295705744e-08	1	7
Boise RWF, ID	57	0.06572465646875811	0.6271496020741545	0.6902385273528651	2.848344803959361e-09	0.7737231008555874	1.710779500446753e-12	0.6475258774267142	5.216947442475358e-08	0.781413845158356	7.376060367902296e-13	0.7906082870093764	2.5778961196896654e-13	0.431805481053264	0.0007968281809916537	0.6268175570104766	1.8247619590026e-07	0.7051738191337817	9.136792730884803e-10	2	7
**SB-sequenced**																					
Boston DITP North, MA	43	0.6304224718503644	5.877384608988384e-06	0.5971986261665507	2.3622285320518868e-05	0.6313285767326502	5.645665686095875e-06	0.9069890662352831	5.435394373517108e-17	0.9058399398165234	6.913620712210901e-17	0.9064965834843862	6.027963730069374e-17	0.8539752322175856	3.3469845329406816e-13	0.8679114873805327	4.9171322500161987e-14	0.871531018851163	2.8832226203938074e-14	2	7
Boston DITP South, MA	43	0.43150581975323243	0.0038634312838451553	0.25752369903528377	0.09547725200378028	0.32578160770308795	0.03301635934925827	0.6934158522720643	2.543952446921674e-07	0.7723424761932856	1.3122138089422353e-09	0.7757043072218758	1.0015543035408827e-09	0.5177292944042244	0.0003770945383014608	0.5156360492786008	0.0004020137958656865	0.5156360492786008	0.0004020137958656865	2	7
Miami-Dade CDWWTP, FL	40	0.7740273258461078	4.6853898960621484e-09	0.8831404827832879	4.661620263760269e-14	0.8463312250213476	6.059770636441059e-12	0.5203433832783264	0.000577924231803049	0.45637141253059593	0.003077679940459314	0.5203433832783264	0.000577924231803049	0.7103307002514548	2.833328942911507e-07	0.727437732693697	1.0536394102535777e-07	0.7205191673012299	1.585652752210384e-07	2	7
