year,month,category,runs,mbases,mbytes
2021,4,wastewater_metagenome,1064,338744,126995
2021,4,wastewater_shotgun_metagenomic,55,283406,104494
2021,5,all_sra,348587,1636060384,376066115
2021,5,wastewater_metagenome,441,411166,231242
2021,5,wastewater_shotgun_metagenomic,27,388560,220037
2021,6,all_sra,415221,813456573,292362676
2021,6,wastewater_metagenome,733,6329400,1967639
2021,6,wastewater_shotgun_metagenomic,451,5690090,1728203
2021,7,all_sra,384117,627414542,219165832
2021,7,wastewater_metagenome,2103,986452,327031
2021,7,wastewater_shotgun_metagenomic,666,730377,235508
2021,8,all_sra,318082,908201225,287143882
2021,8,wastewater_metagenome,2930,855967,295573
2021,8,wastewater_shotgun_metagenomic,1169,457213,146738
2021,9,all_sra,629247,1518275530,410573240
2021,9,wastewater_metagenome,2060,4243329,1500814
2021,9,wastewater_shotgun_metagenomic,1510,788475,274530
2021,10,all_sra,736882,1477152944,346472479
2021,10,wastewater_metagenome,1065,364545,129266
2021,10,wastewater_shotgun_metagenomic,39,114557,43314
2021,11,all_sra,832148,1062560210,291646737
2021,11,wastewater_metagenome,2118,919989,365050
2021,11,wastewater_shotgun_metagenomic,230,729076,287743
2021,12,all_sra,772257,997466319,320383638
2021,12,wastewater_metagenome,1009,1078436,454281
2021,12,wastewater_shotgun_metagenomic,21,226632,136193
2022,1,all_sra,669930,974857021,331655410
2022,1,wastewater_metagenome,2843,2331323,866951
2022,1,wastewater_shotgun_metagenomic,247,407136,155133
2022,2,all_sra,612932,836479229,283087691
2022,2,wastewater_metagenome,5042,1454148,614772
2022,2,wastewater_shotgun_metagenomic,439,377383,120961
2022,3,all_sra,646510,1014436791,310706660
2022,3,wastewater_metagenome,2845,2236976,677161
2022,3,wastewater_shotgun_metagenomic,802,1900201,563398
2022,4,all_sra,559575,1449385385,392031642
2022,4,wastewater_metagenome,1506,2357097,775624
2022,4,wastewater_shotgun_metagenomic,300,1974238,605035
2022,5,all_sra,544220,1181381183,383362705
2022,5,wastewater_metagenome,1615,1329316,457628
2022,5,wastewater_shotgun_metagenomic,232,938188,317118
2022,6,all_sra,483549,1198862549,367930470
2022,6,wastewater_metagenome,3248,3661553,1201213
2022,6,wastewater_shotgun_metagenomic,1220,2327842,761225
2022,7,all_sra,803940,954269464,343691252
2022,7,wastewater_metagenome,3207,5709234,1969196
2022,7,wastewater_shotgun_metagenomic,1277,4158581,1277908
2022,8,all_sra,605706,1022373032,378699409
2022,8,wastewater_metagenome,3995,8507806,2613595
2022,8,wastewater_shotgun_metagenomic,1864,7461257,2259364
2022,9,all_sra,427358,824732540,298070177
2022,9,wastewater_metagenome,4890,9411714,2927491
2022,9,wastewater_shotgun_metagenomic,2031,8967748,2736194
2022,10,all_sra,365830,799260272,267536561
2022,10,wastewater_metagenome,2938,4450153,1508207
2022,10,wastewater_shotgun_metagenomic,1559,3997093,1298961
2022,11,all_sra,357676,1141465061,354286959
2022,11,wastewater_metagenome,7269,13144251,4094997
2022,11,wastewater_shotgun_metagenomic,4435,12254073,3741039
2022,12,all_sra,453585,1128805823,391387880
2022,12,wastewater_metagenome,4164,7784837,2449927
2022,12,wastewater_shotgun_metagenomic,1717,6439723,1936526
2023,1,all_sra,425472,1282115575,441448269
2023,1,wastewater_metagenome,5748,7575373,2456021
2023,1,wastewater_shotgun_metagenomic,2266,6736986,2077167
2023,2,all_sra,331732,1414820506,348797453
2023,2,wastewater_metagenome,7089,4760785,1581446
2023,2,wastewater_shotgun_metagenomic,2051,4215852,1320540
2023,3,all_sra,335204,1016763212,369272701
2023,3,wastewater_metagenome,7680,4784763,1710189
2023,3,wastewater_shotgun_metagenomic,2094,2002148,654358
2023,4,all_sra,338432,873846149,314294245
2023,4,wastewater_metagenome,7321,6314972,2083759
2023,4,wastewater_shotgun_metagenomic,1554,2443972,845112
2023,5,all_sra,388759,941816619,335959756
2023,5,wastewater_metagenome,5461,5872706,1906118
2023,5,wastewater_shotgun_metagenomic,2098,2886698,904534
2023,6,all_sra,314093,948239854,351120589
2023,6,wastewater_metagenome,4658,2857328,987134
2023,6,wastewater_shotgun_metagenomic,1420,1593213,515543
2023,7,all_sra,953459,1082320288,393979621
2023,7,wastewater_metagenome,4037,3429644,1142871
2023,7,wastewater_shotgun_metagenomic,1381,2331936,761008
2023,8,all_sra,333626,1323611482,477066718
2023,8,wastewater_metagenome,9002,9115270,3051246
2023,8,wastewater_shotgun_metagenomic,1875,3788610,1251648
2023,9,all_sra,679399,2015905565,672636269
2023,9,wastewater_metagenome,4420,5530601,1804904
2023,9,wastewater_shotgun_metagenomic,1218,2663519,810617
2023,10,all_sra,356102,1214355203,424994730
2023,10,wastewater_metagenome,4170,8546903,2794116
2023,10,wastewater_shotgun_metagenomic,717,5465752,1785765
2023,11,all_sra,375384,1247538885,409918452
2023,11,wastewater_metagenome,11260,4974629,1714157
2023,11,wastewater_shotgun_metagenomic,292,1185609,442230
2023,12,all_sra,489976,1587977904,497721582
