sra_accession,site_name,sequencing_lab,date,n_reads_virus_10239_total,n_reads_virus_annotated,n_reads_virus_not_annotated,n_reads_virus_vertebrate_7742_status_0,n_reads_virus_vertebrate_7742_status_1,n_reads_virus_vertebrate_7742_status_2,n_reads_virus_vertebrate_7742_status_3,n_reads_virus_invertebrate_33208m7742_status_0,n_reads_virus_invertebrate_33208m7742_status_1,n_reads_virus_invertebrate_33208m7742_status_2,n_reads_virus_invertebrate_33208m7742_status_3,n_reads_virus_plant_33090_status_0,n_reads_virus_plant_33090_status_1,n_reads_virus_plant_33090_status_2,n_reads_virus_plant_33090_status_3,n_reads_virus_fungi_4751_status_0,n_reads_virus_fungi_4751_status_1,n_reads_virus_fungi_4751_status_2,n_reads_virus_fungi_4751_status_3,n_reads_virus_bacteria_2_status_0,n_reads_virus_bacteria_2_status_1,n_reads_virus_bacteria_2_status_2,n_reads_virus_bacteria_2_status_3,n_reads_virus_archaea_2157_status_0,n_reads_virus_archaea_2157_status_1,n_reads_virus_archaea_2157_status_2,n_reads_virus_archaea_2157_status_3,n_reads_virus_other_eukaryote_2759mMFP_status_0,n_reads_virus_other_eukaryote_2759mMFP_status_1,n_reads_virus_other_eukaryote_2759mMFP_status_2,n_reads_virus_other_eukaryote_2759mMFP_status_3,n_reads_virus_virus_10239_status_0,n_reads_virus_virus_10239_status_1,n_reads_virus_virus_10239_status_2,n_reads_virus_virus_10239_status_3,n_reads_virus_metagenome_408169_status_0,n_reads_virus_metagenome_408169_status_1,n_reads_virus_metagenome_408169_status_2,n_reads_virus_metagenome_408169_status_3,n_reads_virus_unclassified_2787823m408169_status_0,n_reads_virus_unclassified_2787823m408169_status_1,n_reads_virus_unclassified_2787823m408169_status_2,n_reads_virus_unclassified_2787823m408169_status_3,n_reads_virus_other_entries_2787854_status_0,n_reads_virus_other_entries_2787854_status_1,n_reads_virus_other_entries_2787854_status_2,n_reads_virus_other_entries_2787854_status_3,n_reads_virus_host_root_1_status_0,n_reads_virus_host_root_1_status_1,n_reads_virus_host_root_1_status_2,n_reads_virus_host_root_1_status_3,n_reads_virus_unknown,n_reads_virus_vertebrate_7742_exclusive,n_reads_virus_invertebrate_33208m7742_exclusive,n_reads_virus_plant_33090_exclusive,n_reads_virus_fungi_4751_exclusive,n_reads_virus_bacteria_2_exclusive,n_reads_virus_archaea_2157_exclusive,n_reads_virus_other_eukaryote_2759mMFP_exclusive,n_reads_virus_virus_10239_exclusive,n_reads_virus_metagenome_408169_exclusive,n_reads_virus_unclassified_2787823m408169_exclusive,n_reads_virus_other_entries_2787854_exclusive,n_reads_virus_host_root_1_exclusive,n_reads_virus_unknown_exclusive,fraction_virus_annotated,fraction_virus_not_annotated,fraction_virus_vertebrate_7742_status_0,fraction_virus_vertebrate_7742_status_1,fraction_virus_vertebrate_7742_status_2,fraction_virus_vertebrate_7742_status_3,fraction_virus_invertebrate_33208m7742_status_0,fraction_virus_invertebrate_33208m7742_status_1,fraction_virus_invertebrate_33208m7742_status_2,fraction_virus_invertebrate_33208m7742_status_3,fraction_virus_plant_33090_status_0,fraction_virus_plant_33090_status_1,fraction_virus_plant_33090_status_2,fraction_virus_plant_33090_status_3,fraction_virus_fungi_4751_status_0,fraction_virus_fungi_4751_status_1,fraction_virus_fungi_4751_status_2,fraction_virus_fungi_4751_status_3,fraction_virus_bacteria_2_status_0,fraction_virus_bacteria_2_status_1,fraction_virus_bacteria_2_status_2,fraction_virus_bacteria_2_status_3,fraction_virus_archaea_2157_status_0,fraction_virus_archaea_2157_status_1,fraction_virus_archaea_2157_status_2,fraction_virus_archaea_2157_status_3,fraction_virus_other_eukaryote_2759mMFP_status_0,fraction_virus_other_eukaryote_2759mMFP_status_1,fraction_virus_other_eukaryote_2759mMFP_status_2,fraction_virus_other_eukaryote_2759mMFP_status_3,fraction_virus_virus_10239_status_0,fraction_virus_virus_10239_status_1,fraction_virus_virus_10239_status_2,fraction_virus_virus_10239_status_3,fraction_virus_metagenome_408169_status_0,fraction_virus_metagenome_408169_status_1,fraction_virus_metagenome_408169_status_2,fraction_virus_metagenome_408169_status_3,fraction_virus_unclassified_2787823m408169_status_0,fraction_virus_unclassified_2787823m408169_status_1,fraction_virus_unclassified_2787823m408169_status_2,fraction_virus_unclassified_2787823m408169_status_3,fraction_virus_other_entries_2787854_status_0,fraction_virus_other_entries_2787854_status_1,fraction_virus_other_entries_2787854_status_2,fraction_virus_other_entries_2787854_status_3,fraction_virus_host_root_1_status_0,fraction_virus_host_root_1_status_1,fraction_virus_host_root_1_status_2,fraction_virus_host_root_1_status_3,fraction_virus_unknown,fraction_virus_vertebrate_7742_exclusive,fraction_virus_invertebrate_33208m7742_exclusive,fraction_virus_plant_33090_exclusive,fraction_virus_fungi_4751_exclusive,fraction_virus_bacteria_2_exclusive,fraction_virus_archaea_2157_exclusive,fraction_virus_other_eukaryote_2759mMFP_exclusive,fraction_virus_virus_10239_exclusive,fraction_virus_metagenome_408169_exclusive,fraction_virus_unclassified_2787823m408169_exclusive,fraction_virus_other_entries_2787854_exclusive,fraction_virus_host_root_1_exclusive,fraction_virus_unknown_exclusive
SAMN47830545,"Chicago (CHI-A), IL",MU,2025-01-26,119220,119220,0,117439,1272,505,4,118563,148,499,10,23594,95117,474,35,118705,6,509,0,113593,5105,246,276,118709,2,509,0,118691,20,506,3,118691,16,513,0,115744,2951,525,0,119220,0,0,0,119220,0,0,0,101570,17132,484,34,0,1276,156,95151,4,5381,2,23,0,2951,0,0,14116,160,1.0,0.0,0.985061231337024,0.0106693507800704,0.0042358664653581,3.3551417547391375e-05,0.994489179667841,0.0012414024492534,0.004185539339037,8.387854386847844e-05,0.197903036403288,0.7978275457138064,0.0039758429793658,0.0002935749035396,0.9956802549907734,5.032712632108707e-05,0.0042694178829055,0.0,0.9528015433652072,0.0428199966448582,0.0020634121791645,0.00231504781077,0.9957138064083207,1.6775708773695687e-05,0.0042694178829055,0.0,0.9955628250293574,0.0001677570877369,0.004244254319745,2.5163563160543534e-05,0.9955628250293574,0.0001342056701895,0.0043029693004529,0.0,0.9708438181513168,0.0247525582955879,0.0044036235530951,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8519543700721356,0.1437007213554772,0.0040597215232343,0.0002851870491528,0.0,0.0107029021976178,0.0013085052843482,0.7981127327629592,3.3551417547391375e-05,0.0451350444556282,1.6775708773695687e-05,0.0001929206508975,0.0,0.0247525582955879,0.0,0.0,0.1184029525247441,0.0013420567018956
SAMN47830552,"Chicago (CHI-A), IL",MU,2025-02-02,39422,39422,0,38877,408,133,4,39140,145,127,10,12677,26608,113,24,39285,0,137,0,38828,457,124,13,39284,1,137,0,39269,16,134,3,39271,14,137,0,37747,1527,148,0,39422,0,0,0,39422,0,0,0,27601,11684,118,19,0,412,155,26632,0,470,1,19,0,1527,0,0,10142,64,1.0,0.0,0.9861752321039012,0.0103495510121252,0.00337375069758,0.0001014661863933,0.9928466338592664,0.0036781492567601,0.0032215514179899,0.0002536654659834,0.3215717112272335,0.674953071888793,0.0028664197656131,0.0006087971183603,0.9965247831160264,0.0,0.0034752168839734,0.0,0.9849322713205824,0.0115925117954441,0.0031454517781949,0.0003297651057784,0.9964994165694282,2.53665465983461e-05,0.0034752168839734,0.0,0.9961189183704532,0.0004058647455735,0.0033991172441783,7.609963979503831e-05,0.9961696514636498,0.0003551316523768,0.0034752168839734,0.0,0.9575110344477704,0.0387347166556744,0.0037542488965552,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7001420526609508,0.2963827304550758,0.0029932524986048,0.0004819643853685,0.0,0.0104510171985185,0.0039318147227436,0.6755618690071533,0.0,0.0119222769012226,2.53665465983461e-05,0.0004819643853685,0.0,0.0387347166556744,0.0,0.0,0.2572675156004261,0.0016234589822941
SAMN47830562,"Chicago (CHI-A), IL",MU,2025-02-10,24039,24039,0,23680,279,78,2,23926,33,75,5,6863,17096,72,8,23959,0,80,0,23578,381,71,9,23959,0,80,0,23955,4,80,0,23958,1,80,0,23092,865,82,0,24039,0,0,0,24039,0,0,0,17774,6185,73,7,0,281,38,17104,0,390,0,4,0,865,0,0,5308,49,1.0,0.0,0.9850659345230668,0.0116061400224634,0.003244727318108,8.31981363617455e-05,0.9952993052955614,0.0013727692499688,0.0031199301135654,0.0002079953409043,0.2854944049253297,0.7111776696202005,0.0029951329090228,0.0003327925454469,0.9966720745455302,0.0,0.0033279254544698,0.0,0.9808228295686175,0.0158492449769125,0.0029535338408419,0.0003743916136278,0.9966720745455302,0.0,0.0033279254544698,0.0,0.9965056782728068,0.0001663962727234,0.0033279254544698,0.0,0.9966304754773492,4.159906818087275e-05,0.0033279254544698,0.0,0.9606056824327136,0.0359831939764549,0.0034111235908315,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7393818378468322,0.2572902366986979,0.0030367319772037,0.0002911934772661,0.0,0.0116893381588252,0.0015807645908731,0.7115104621656475,0.0,0.0162236365905403,0.0,0.0001663962727234,0.0,0.0359831939764549,0.0,0.0,0.2208078539040725,0.0020383543408627
SAMN47830567,"Chicago (CHI-A), IL",MU,2025-02-17,75625,75625,0,74369,1030,221,5,75280,119,211,15,28725,46674,206,20,75390,9,226,0,74434,963,202,26,75399,0,226,0,75381,18,224,2,75393,6,226,0,70604,4786,235,0,75625,0,0,0,75625,0,0,0,48705,26692,195,33,0,1035,132,46693,8,989,0,20,0,4786,0,0,21835,127,1.0,0.0,0.98339173553719,0.0136198347107438,0.0029223140495867,6.611570247933885e-05,0.9954380165289256,0.0015735537190082,0.002790082644628,0.000198347107438,0.3798347107438016,0.6171768595041323,0.0027239669421487,0.0002644628099173,0.9968925619834712,0.0001190082644628,0.0029884297520661,0.0,0.9842512396694216,0.0127338842975206,0.0026710743801652,0.0003438016528925,0.997011570247934,0.0,0.0029884297520661,0.0,0.9967735537190082,0.0002380165289256,0.0029619834710743,2.6446280991735536e-05,0.9969322314049588,7.933884297520661e-05,0.0029884297520661,0.0,0.933606611570248,0.0632859504132231,0.0031074380165289,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6440330578512397,0.3529520661157024,0.0025785123966942,0.0004363636363636,0.0,0.0136859504132231,0.0017454545454545,0.6174280991735537,0.0001057851239669,0.0130776859504132,0.0,0.0002644628099173,0.0,0.0632859504132231,0.0,0.0,0.2887272727272727,0.0016793388429752
SAMN47830575,"Chicago (CHI-A), IL",MU,2025-02-23,26101,26101,0,25716,303,81,1,25986,33,79,3,11204,14815,75,7,26016,3,82,0,25715,304,72,10,26019,0,82,0,25995,24,82,0,26018,1,82,0,24920,1096,85,0,26101,0,0,0,26101,0,0,0,15449,10570,67,15,0,304,35,14821,2,314,0,24,0,1096,0,0,9459,46,1.0,0.0,0.9852496072947396,0.0116087506225815,0.0031033293743534,3.831270832535152e-05,0.9955940385425844,0.0012643193747366,0.0030267039577027,0.000114938124976,0.4292555840772384,0.5676027738400827,0.0028734531244013,0.0002681889582774,0.9967434197923452,0.000114938124976,0.0031416420826788,0.0,0.9852112945864144,0.0116470633309068,0.0027585149994253,0.0003831270832535,0.9968583579173212,0.0,0.0031416420826788,0.0,0.9959388529175128,0.0009195049998084,0.0031416420826788,0.0,0.9968200452089958,3.831270832535152e-05,0.0031416420826788,0.0,0.95475269146776,0.0419907283245852,0.0032565802076548,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5918930309183557,0.4049653269989655,0.0025669514577985,0.0005746906248802,0.0,0.0116470633309068,0.0013409447913873,0.5678326500900349,7.662541665070304e-05,0.0120301904141603,0.0,0.0009195049998084,0.0,0.0419907283245852,0.0,0.0,0.3623999080495,0.0017623845829661
SAMN47830582,"Chicago (CHI-A), IL",MU,2025-03-02,72880,72880,0,72011,703,159,7,72654,60,159,7,35718,36996,151,15,72713,1,166,0,71977,736,144,23,72714,0,166,0,72704,10,163,3,72706,8,166,0,67405,5295,180,0,72880,0,0,0,72880,0,0,0,38449,34264,141,26,0,710,66,37011,1,759,0,13,0,5295,0,0,28939,86,1.0,0.0,0.988076289791438,0.0096459934138309,0.002181668496158,9.60482985729967e-05,0.9968990120746432,0.0008232711306256,0.002181668496158,9.60482985729967e-05,0.4900933040614709,0.507628979143798,0.0020718990120746,0.0002058177826564,0.9977085620197584,1.37211855104281e-05,0.002277716794731,0.0,0.9876097694840834,0.010098792535675,0.0019758507135016,0.0003155872667398,0.9977222832052688,0.0,0.002277716794731,0.0,0.9975850713501646,0.0001372118551042,0.0022365532381997,4.1163556531284306e-05,0.9976125137211856,0.0001097694840834,0.002277716794731,0.0,0.924876509330406,0.0726536772777168,0.002469813391877,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.52756586169045,0.4701427003293084,0.0019346871569703,0.0003567508232711,0.0,0.0097420417124039,0.0009055982436882,0.5078347969264544,1.37211855104281e-05,0.0104143798024149,0.0,0.0001783754116355,0.0,0.0726536772777168,0.0,0.0,0.3970773874862788,0.0011800219538968
SAMN47830591,"Chicago (CHI-A), IL",MU,2025-03-09,65336,65336,0,64938,332,64,2,65240,30,66,0,52261,13009,63,3,65270,0,66,0,64880,390,58,8,65268,2,66,0,65255,15,65,1,65264,6,66,0,62789,2477,70,0,65336,0,0,0,65336,0,0,0,13760,51510,56,10,0,334,29,13012,0,398,2,16,0,2477,0,0,49026,42,1.0,0.0,0.993908411901555,0.005081425247949,0.0009795518550263,3.061099546957267e-05,0.9985306722174604,0.0004591649320435,0.0010101628504958,0.0,0.7998806171176687,0.1991092200318354,0.0009642463572915,4.5916493204359005e-05,0.998989837149504,0.0,0.0010101628504958,0.0,0.9930206930329374,0.0059691441165666,0.0008877188686176,0.0001224439818782,0.9989592261540344,3.061099546957267e-05,0.0010101628504958,0.0,0.9987602546834824,0.0002295824660217,0.0009948573527611,1.5305497734786336e-05,0.9988980041630954,9.1832986408718e-05,0.0010101628504958,0.0,0.9610168972694992,0.0379117178890657,0.001071384841435,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2106036488306599,0.7883861883188441,0.000857107873148,0.0001530549773478,0.0,0.0051120362434186,0.0004438594343088,0.1991551365250398,0.0,0.0060915880984449,3.061099546957267e-05,0.0002448879637565,0.0,0.0379117178890657,0.0,0.0,0.7503673319456349,0.000642830904861
SAMN53134949,"Chicago (CHI-A), IL",MU,2025-03-16,81949,81949,0,81561,294,91,3,81833,22,91,3,69257,12598,85,9,81853,2,94,0,81396,459,76,18,81853,2,94,0,81840,15,93,1,81849,6,94,0,75160,6682,107,0,81949,0,0,0,81949,0,0,0,13369,68486,83,11,0,297,25,12607,2,477,2,16,0,6682,0,0,61792,49,1.0,0.0,0.9952653479603168,0.0035875971640898,0.0011104467412659,3.660813432744756e-05,0.998584485472672,0.0002684596517346,0.0011104467412659,3.660813432744756e-05,0.8451231863720119,0.1537297587523947,0.001037230472611,0.0001098244029823,0.9988285397015216,2.440542288496504e-05,0.0011470548755933,0.0,0.9932519005723072,0.0056010445520994,0.0009274060696286,0.0002196488059646,0.9988285397015216,2.440542288496504e-05,0.0011470548755933,0.0,0.9986699044527694,0.0001830406716372,0.0011348521641508,1.220271144248252e-05,0.9987797288557516,7.321626865489512e-05,0.0011470548755933,0.0,0.9171557920169862,0.0815385178586682,0.0013056901243456,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1631380492745488,0.8357148958498578,0.001012825049726,0.0001342298258673,0.0,0.0036242052984173,0.000305067786062,0.1538395831553771,2.440542288496504e-05,0.0058206933580641,2.440542288496504e-05,0.0001952433830797,0.0,0.0815385178586682,0.0,0.0,0.7540299454538798,0.0005979328606816
SAMN53134950,"Chicago (CHI-A), IL",MU,2025-03-23,26803,26803,0,26554,176,70,3,26708,22,73,0,18796,7934,71,2,26730,0,73,0,26449,281,63,10,26727,3,73,0,26701,29,68,5,26729,1,73,0,21738,4989,76,0,26803,0,0,0,26803,0,0,0,8440,18290,63,10,0,179,22,7936,0,291,3,34,0,4989,0,0,13306,43,1.0,0.0,0.9907099951497966,0.0065664291310674,0.0026116479498563,0.0001119277692795,0.9964556206394808,0.0008208036413834,0.0027235757191359,0.0,0.7012647837928591,0.2960116404880051,0.0026489572062828,7.461851285303884e-05,0.997276424280864,0.0,0.0027235757191359,0.0,0.986792523225012,0.0104839010558519,0.0023504831548707,0.0003730925642651,0.9971644965115846,0.0001119277692795,0.0027235757191359,0.0,0.9961944558444952,0.001081968436369,0.0025370294370033,0.0001865462821325,0.9972391150244376,3.730925642651942e-05,0.0027235757191359,0.0,0.8110286161996791,0.1861358803119054,0.0028355034884154,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3148901242398239,0.6823863000410402,0.0023504831548707,0.0003730925642651,0.0,0.0066783569003469,0.0008208036413834,0.2960862590008581,0.0,0.0108569936201171,0.0001119277692795,0.0012685147185016,0.0,0.1861358803119054,0.0,0.0,0.4964369660112674,0.0016042980263403
SAMN53134951,"Chicago (CHI-A), IL",MU,2025-03-30,54452,54452,0,53753,497,199,3,54192,58,195,7,34744,19506,190,12,54246,4,202,0,52445,1802,130,75,54249,1,202,0,54223,27,200,2,54248,1,203,0,44754,9488,210,0,54452,0,0,0,54452,0,0,0,21864,32384,190,14,0,500,65,19517,3,1877,1,29,0,9488,0,0,22880,92,1.0,0.0,0.9871630059501948,0.0091273047821934,0.0036545948725482,5.50943950635422e-05,0.9952251524278264,0.0010651583045618,0.0035811356791302,0.0001285535884815,0.6380665540292367,0.3582237567031514,0.0034893116873576,0.0002203775802541,0.99621685153897,7.345919341805627e-05,0.0037096892676118,0.0,0.9631418497024904,0.0330933666348343,0.0023874237860868,0.0013773598765885,0.9962719459340336,1.8364798354514068e-05,0.0037096892676118,0.0,0.9957944611768162,0.0004958495555718,0.0036729596709028,3.6729596709028136e-05,0.9962535811356792,1.8364798354514068e-05,0.0037280540659663,0.0,0.8218981855579226,0.1742452067876294,0.0038566076544479,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4015279512230956,0.5947256299125836,0.0034893116873576,0.0002571071769631,0.0,0.009182399177257,0.0011937118930434,0.358425769485051,5.50943950635422e-05,0.0344707265114229,1.8364798354514068e-05,0.0005325791522809,0.0,0.1742452067876294,0.0,0.0,0.4201865863512818,0.0016895614486152
SAMN53134952,"Chicago (CHI-A), IL",MU,2025-04-06,64820,64820,0,64532,217,70,1,64716,33,68,3,50043,14706,67,4,64749,0,71,0,64493,256,63,8,64743,6,71,0,64743,6,71,0,64747,2,71,0,50262,14464,94,0,64820,0,0,0,64820,0,0,0,15205,49544,62,9,0,218,36,14710,0,264,6,6,0,14464,0,0,35070,46,1.0,0.0,0.9955569268744214,0.0033477321814254,0.0010799136069114,1.54273372415921e-05,0.9983955569268744,0.0005091021289725,0.0010490589324282,4.62820117247763e-05,0.7720302375809935,0.2268744214748534,0.0010336315951866,6.17093489663684e-05,0.9989046590558468,0.0,0.001095340944153,0.0,0.9949552607219994,0.0039493983338475,0.0009719222462203,0.0001234186979327,0.9988120950323974,9.25640234495526e-05,0.001095340944153,0.0,0.9988120950323974,9.25640234495526e-05,0.001095340944153,0.0,0.9988738043813638,3.08546744831842e-05,0.001095340944153,0.0,0.7754088244369022,0.2231410058623881,0.0014501697007096,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2345726627584079,0.7643319962974391,0.0009564949089787,0.0001388460351743,0.0,0.003363159518667,0.0005553841406973,0.2269361308238198,0.0,0.0040728170317803,9.25640234495526e-05,9.25640234495526e-05,0.0,0.2231410058623881,0.0,0.0,0.541036717062635,0.0007096575131132
SAMN53134953,"Chicago (CHI-A), IL",MU,2025-04-13,62558,62558,0,62110,366,81,1,62451,25,78,4,39591,22885,76,6,62474,2,82,0,62130,346,71,11,62475,1,82,0,62470,6,82,0,62471,5,82,0,51367,11101,90,0,62558,0,0,0,62558,0,0,0,23592,38884,73,9,0,367,28,22891,1,357,1,6,0,11101,0,0,27755,51,1.0,0.0,0.9928386457367564,0.0058505706704178,0.0012947984270596,1.5985165766168994e-05,0.99828958726302,0.0003996291441542,0.0012468429297611,6.394066306467597e-05,0.6328686978483967,0.3658205185587774,0.0012148725982288,9.591099459701396e-05,0.9986572460756418,3.197033153233799e-05,0.0013107835928258,0.0,0.9931583490520796,0.0055308673550944,0.0011349467693979,0.0001758368234278,0.998673231241408,1.5985165766168994e-05,0.0013107835928258,0.0,0.9985933054125772,9.591099459701396e-05,0.0013107835928258,0.0,0.9986092905783432,7.992582883084497e-05,0.0013107835928258,0.0,0.8211100099108027,0.177451325170242,0.0014386649189552,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3771220307554589,0.6215671856517152,0.0011669171009303,0.0001438664918955,0.0,0.005866555836184,0.0004475846414527,0.3659164295533744,1.5985165766168994e-05,0.0057067041785223,1.5985165766168994e-05,9.591099459701396e-05,0.0,0.177451325170242,0.0,0.0,0.4436682758400204,0.0008152434540746
SAMN53134954,"Chicago (CHI-A), IL",MU,2025-04-20,45264,45264,0,44950,221,93,0,45146,25,87,6,25857,19314,86,7,45171,0,93,0,44793,378,73,20,45171,0,93,0,45167,4,93,0,45167,4,93,0,39236,5923,105,0,45264,0,0,0,45264,0,0,0,19926,25245,79,14,0,221,30,19321,0,398,0,4,0,5923,0,0,19321,46,1.0,0.0,0.9930629197596323,0.0048824673029338,0.0020546129374337,0.0,0.9973930717568044,0.0005523153057617,0.0019220572640509,0.0001325556733828,0.5712486744432662,0.4266967126193001,0.0018999646518204,0.0001546482856132,0.9979453870625664,0.0,0.0020546129374337,0.0,0.9895943796394484,0.0083510074231177,0.0016127606928243,0.0004418522446094,0.9979453870625664,0.0,0.0020546129374337,0.0,0.9978570166136445,8.837044892188053e-05,0.0020546129374337,0.0,0.9978570166136445,8.837044892188053e-05,0.0020546129374337,0.0,0.866825733474726,0.1308545422410746,0.0023197242841993,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4402173913043478,0.5577279957582184,0.0017453163662071,0.0003092965712265,0.0,0.0048824673029338,0.0006627783669141,0.4268513609049134,0.0,0.0087928596677271,0.0,8.837044892188053e-05,0.0,0.1308545422410746,0.0,0.0,0.4268513609049134,0.0010162601626016
SAMN53134955,"Chicago (CHI-A), IL",MU,2025-04-27,142685,142685,0,141774,634,275,2,142332,76,256,21,93946,48462,258,19,142403,5,277,0,141436,970,248,31,142408,0,277,0,142399,9,277,0,142394,13,278,0,105496,36872,317,0,142685,0,0,0,142685,0,0,0,50091,92316,257,21,1,636,97,48479,3,1001,0,9,0,36872,0,0,55402,186,1.0,0.0,0.9936153064442652,0.0044433542418614,0.0019273224235203,1.4016890352875214e-05,0.9975260188527176,0.0005326418334092,0.001794161965168,0.0001471773487051,0.6584153905456075,0.3396432701405193,0.0018081788555209,0.0001331604583523,0.9980236184602446,3.5042225882188036e-05,0.0019413393138732,0.0,0.9912464519746296,0.0067981918211444,0.0017380944037565,0.0002172618004695,0.9980586606861268,0.0,0.0019413393138732,0.0,0.9979955846795387,6.307600658793846e-05,0.0019413393138732,0.0,0.9979605424536566,9.11097872936889e-05,0.0019483477590496,0.0,0.7393629323334618,0.2584153905456074,0.0022216771209307,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3510600273329362,0.6469916249080142,0.0018011704103444,0.0001471773487051,7.008445176437607e-06,0.0044573711322143,0.0006798191821144,0.3397624137085188,2.1025335529312823e-05,0.007015453621614,0.0,6.307600658793846e-05,0.0,0.2584153905456074,0.0,0.0,0.3882818796649963,0.0013035708028173
SAMN53134956,"Chicago (CHI-A), IL",MU,2025-05-04,312220,312220,0,310114,1028,1073,5,310896,246,1055,23,171955,139187,1042,36,311134,8,1078,0,308472,2665,985,98,311139,3,1078,0,311113,29,1078,0,311126,16,1078,0,258222,52883,1115,0,312220,0,0,0,312220,0,0,0,143058,168079,1026,57,0,1033,264,139222,7,2763,3,29,0,52883,0,0,115152,864,1.0,0.0,0.9932547562616104,0.0032925501249119,0.0034366792646211,1.6014348856575493e-05,0.9957594004227788,0.0007879059637435,0.0033790276087374,7.366600474024727e-05,0.5507494715264878,0.4457978348600346,0.0033373903017103,0.0001153033117673,0.9965216834283518,2.5622958170520787e-05,0.0034526936134776,0.0,0.987995644097111,0.0085356479405547,0.0031548267247453,0.0003138812375888,0.9965376977772084,9.608609313945296e-06,0.0034526936134776,0.0,0.996454423163154,9.288322336813784e-05,0.0034526936134776,0.0,0.9964960604701812,5.1245916341041574e-05,0.0034526936134776,0.0,0.8270514380885273,0.1693773621164563,0.0035711997950163,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4581961437447953,0.5383351482928704,0.0032861443853692,0.0001825635769649,0.0,0.0033085644737684,0.0008455576196271,0.4459099353020306,2.242008839920569e-05,0.0088495291781436,9.608609313945296e-06,9.288322336813784e-05,0.0,0.1693773621164563,0.0,0.0,0.3688168599064762,0.0027672794824162
SAMN53134957,"Chicago (CHI-A), IL",MU,2025-05-11,285674,285674,0,284087,891,688,8,284786,192,671,25,170012,114966,631,65,284975,3,696,0,282411,2562,602,99,284977,1,696,0,284967,11,692,4,284968,8,698,0,241731,43203,740,0,285674,0,0,0,285674,0,0,0,118529,166446,639,60,0,899,217,115031,2,2661,1,15,0,43203,0,0,123205,440,1.0,0.0,0.9944447167050554,0.0031189397705076,0.0024083395758801,2.8003948556746505e-05,0.9968915617102012,0.0006720947653619,0.0023488311851971,8.751233923983281e-05,0.5951259127536983,0.4024377437218648,0.0022088114424133,0.0002275320820235,0.9975531549948544,1.0501480708779938e-05,0.0024363435244369,0.0,0.988577889482417,0.008968264525298,0.0021072971288951,0.0003465488633897,0.9975601559819934,3.5004935695933128e-06,0.0024363435244369,0.0,0.9975251510462976,3.850542926552643e-05,0.0024223415501585,1.4001974278373253e-05,0.9975286515398673,2.8003948556746505e-05,0.0024433445115761,0.0,0.846177811071361,0.1512318236871399,0.002590365241499,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4149100023103257,0.5826431526845285,0.0022368153909701,0.0002100296141755,0.0,0.0031469437190643,0.0007596071046017,0.4026652758038883,7.0009871391866255e-06,0.0093148133886878,3.5004935695933128e-06,5.250740354389969e-05,0.0,0.1512318236871399,0.0,0.0,0.431278310241744,0.001540217170621
SAMN53134958,"Chicago (CHI-A), IL",MU,2025-05-18,318285,318285,0,316461,1096,720,8,317293,264,703,25,178845,138712,680,48,317550,7,728,0,314216,3336,603,130,317554,3,728,0,317547,10,726,2,317533,21,731,0,267919,49580,786,0,318285,0,0,0,318285,0,0,0,143332,174223,671,59,1,1104,287,138757,5,3466,3,12,0,49580,0,0,124609,462,1.0,0.0,0.9942692869598002,0.0034434547653832,0.0022621235684999,2.513470631666588e-05,0.9968832964167336,0.0008294453084499,0.002208712317577,7.854595723958088e-05,0.5619020689005136,0.4358106728246697,0.0021364500369166,0.0001508082378999,0.9976907488571564,2.1992868027082645e-05,0.0022872582748165,0.0,0.987215859999686,0.0104811725340496,0.0018945284886186,0.0004084389776458,0.9977033162103146,9.425514868749706e-06,0.0022872582748165,0.0,0.9976813233422877,3.141838289583235e-05,0.0022809745982374,6.28367657916647e-06,0.9976373376062334,6.597860408124794e-05,0.0022966837896853,0.0,0.8417581727068508,0.1557723423975368,0.0024694848956124,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4503259657225442,0.54738049232606,0.0021081734923103,0.0001853684590854,3.141838289583235e-06,0.0034685894716998,0.0009017075891103,0.4359520555477009,1.5709191447916177e-05,0.0108896115116954,9.425514868749706e-06,3.7702059474998825e-05,0.0,0.1557723423975368,0.0,0.0,0.3915013274266773,0.0014515292897874
