sra_accession,site_name,date,n_reads_profiled,total_read_pairs,n_reads_classified_1_clade_non_rrna,n_reads_classified_1_clade_rrna,n_reads_unclassified_0_clade_non_rrna,n_reads_unclassified_0_clade_rrna,n_reads_root_direct_1_non_rrna,n_reads_root_direct_1_rrna,rrna_fraction,n_reads_cellular_organisms_131567_clade_non_rrna,n_reads_cellular_organisms_131567_clade_rrna,n_reads_cellular_organisms_131567_direct_non_rrna,n_reads_cellular_organisms_131567_direct_rrna,n_reads_bacteria_2_clade_non_rrna,n_reads_bacteria_2_clade_rrna,n_reads_archaea_2157_clade_non_rrna,n_reads_archaea_2157_clade_rrna,n_reads_eukaryota_2759_clade_non_rrna,n_reads_eukaryota_2759_clade_rrna,n_reads_viruses_10239_clade_non_rrna,n_reads_viruses_10239_clade_rrna,n_reads_unclassified_entries_2787823_clade_non_rrna,n_reads_unclassified_entries_2787823_clade_rrna,n_reads_other_entries_2787854_clade_non_rrna,n_reads_other_entries_2787854_clade_rrna,n_reads_pmmov_12239_clade_non_rrna,n_reads_tobamovirus_12234_clade_non_rrna,n_reads_tbrv_12275_clade_non_rrna,n_reads_tobrfv_3432872_clade_non_rrna,n_reads_tmv_3432892_clade_non_rrna,n_reads_cgmmv_3432895_clade_non_rrna,fraction_classified_1_clade_non_rrna,fraction_classified_1_clade_rrna,fraction_unclassified_0_clade_non_rrna,fraction_unclassified_0_clade_rrna,fraction_root_direct_1_non_rrna,fraction_root_direct_1_rrna,fraction_cellular_organisms_131567_clade_non_rrna,fraction_cellular_organisms_131567_clade_rrna,fraction_cellular_organisms_131567_direct_non_rrna,fraction_cellular_organisms_131567_direct_rrna,fraction_bacteria_2_clade_non_rrna,fraction_bacteria_2_clade_rrna,fraction_archaea_2157_clade_non_rrna,fraction_archaea_2157_clade_rrna,fraction_eukaryota_2759_clade_non_rrna,fraction_eukaryota_2759_clade_rrna,fraction_viruses_10239_clade_non_rrna,fraction_viruses_10239_clade_rrna,fraction_unclassified_entries_2787823_clade_non_rrna,fraction_unclassified_entries_2787823_clade_rrna,fraction_other_entries_2787854_clade_non_rrna,fraction_other_entries_2787854_clade_rrna,fraction_pmmov_12239_clade_non_rrna,fraction_tobamovirus_12234_clade_non_rrna,fraction_tbrv_12275_clade_non_rrna,fraction_tobrfv_3432872_clade_non_rrna,fraction_tmv_3432892_clade_non_rrna,fraction_cgmmv_3432895_clade_non_rrna
SAMN53134997,"Chicago (CHI-C), IL",2025-05-12,7978660,568797866,1567763,4729526,1526159,155212,290,252,0.6122253623959715,1518174,4729208,631,4103,1512089,4718249,1247,4065,4207,2791,49299,66,0,0,0,0,1980,40541,0,32952,882,2377,0.1964944408314838,0.5927719561455276,0.1912801967725446,0.0194534062504439,3.6347681649103254e-05,3.158565248120387e-05,0.1902792188134357,0.5927320979955668,7.908605627759999e-05,0.0005142425098338,0.1895165616160826,0.5913585634275289,0.000156295359808,0.0005094871180253,0.0005272757812673,0.0003498049401787,0.0061788743363989,8.272497479445862e-06,0.0,0.0,0.0,0.0,0.0002481627273503,0.0050811897513829,0.0,0.0041300243670149,0.000110546426365,0.0002979222782742
SAMN53134998,"Chicago (CHI-C), IL",2025-05-19,7980138,1052405290,1431489,4419184,2084326,45139,471,112,0.5594292787103609,1354948,4419003,772,2330,1348031,4412218,1630,2953,4515,1502,76070,69,0,0,0,0,3702,66886,0,34909,851,3188,0.1793815023429482,0.5537728680303655,0.261189218946691,0.0056564106799953,5.90215935181484e-05,1.4034787460506309e-05,0.1697900532826964,0.553750186575285,9.6740480680464e-05,0.0002919747659291,0.1689232743051394,0.552899948801141,0.0002042578361851,0.0003700445243954,0.0005657806606913,0.0001882184838193,0.0095324274667336,8.646667620023524e-06,0.0,0.0,0.0,0.0,0.000463900871926,0.0083815688847327,0.0,0.0043744941823003,0.0001066392633,0.0003994922600283
SAMN53134999,"Chicago (CHI-C), IL",2025-06-02,7947161,1051001160,1207049,4764398,1920025,55689,312,192,0.6065168631512594,1056037,4764005,931,5069,1044696,4751742,2147,3738,8263,3456,150700,201,0,0,0,0,8658,132549,0,102083,3109,10223,0.1518842969787487,0.5995094397043222,0.2415988398699919,0.0070074234469371,3.9259850384042465e-05,2.415917853267204e-05,0.132882307063849,0.5994599883707762,0.0001171475981988,0.0006378354082981,0.1314552623515306,0.5979169281455627,0.0002701577386795,0.0004703548977984,0.00103973937544,0.0004348699191168,0.0189627300645156,2.529215501334158e-05,0.0,0.0,0.0,0.0,0.001089447201209,0.0166787739181666,0.0,0.012845196255747,0.0003912062851748,0.0012863769094255
SAMN53135000,"Chicago (CHI-C), IL",2025-06-09,7966011,1397184614,829252,3901904,3170004,64851,374,95,0.4979601060120818,707939,3901651,1167,7584,697246,3883506,3811,6731,5715,3830,120937,158,0,0,2,0,4885,91954,0,68375,1410,12067,0.104098787014642,0.4898191391774347,0.3979411069732761,0.0081409668346471,4.6949046041542615e-05,1.1925655273122244e-05,0.0888699684730007,0.4897873801455245,0.0001464971300746,0.0009520454966364,0.0875276422839762,0.4875095784722782,0.0004784072434901,0.0008449659386805,0.0007174218154596,0.0004807902379292,0.0151816184571603,1.9833376637055997e-05,0.0,0.0,2.5103843936065425e-07,0.0,0.0006132329470952,0.0115432892689623,0.0,0.0085833299528761,0.0001770024349517,0.0015148116770661
SAMN53135001,"Chicago (CHI-C), IL",2025-06-16,7977398,1557742559,1027217,4011641,2867514,71026,406,103,0.5117791541868459,908894,4011242,1006,7513,899464,3992544,2190,6695,6234,4490,117917,296,0,0,0,0,2663,60895,0,48059,663,6508,0.1287659569937544,0.5028757378229245,0.3594548888193996,0.0089034163639214,5.089405819293697e-05,1.2911585439584103e-05,0.1139336849324416,0.5028257222492252,0.0001261064277091,0.0009417874497655,0.1127515939884099,0.5004818444356852,0.0002745254043671,0.0008392486298585,0.0007814591119552,0.0005628417339157,0.0147813780031198,3.710398825983521e-05,0.0,0.0,0.0,0.0,0.0003338158039363,0.0076334420205021,0.0,0.0060243954875929,8.310932023482669e-05,0.000815806436206
SAMN53135002,"Chicago (CHI-C), IL",2025-06-23,7991782,1429031432,1056402,4657179,2194268,83933,238,102,0.5932483215326332,971963,4656916,1852,7987,960832,4635683,2688,6341,6591,6905,84200,161,0,0,1,0,5436,67045,0,38152,408,18118,0.1321861282138782,0.5827458909502818,0.2745655502534886,0.0105024305823513,2.978076157349633e-05,1.2762884706068774e-05,0.1216203972091679,0.5827129829647246,0.0002317393384646,0.0009993955254023,0.1202275905437549,0.5800561351474822,0.000336343645621,0.0007934403117995,0.0008247236813273,0.0008640119800404,0.0105358250767907,2.014510085115257e-05,0.0,0.0,1.2516634607393225e-07,0.0,0.0006802003251288,0.0083892472459226,0.0,0.0047739064940717,5.105228432544925e-05,0.0022670771833558
SAMN53135003,"Chicago (CHI-C), IL",2025-06-30,7969848,1446263325,1291153,5011305,1572267,95123,158,100,0.6407183668028942,1177168,5010845,1794,8670,1168385,4989883,2262,6257,4727,6035,113825,360,0,0,2,0,4266,90197,0,47090,543,34027,0.1620047232170756,0.6287829947265591,0.1972769099800302,0.011935372076335,1.9824721808547217e-05,1.254724745612678e-05,0.1477026731277834,0.6287252767962573,0.0002250989406449,0.0010878498774229,0.1466006421594581,0.6260951110643813,0.0002838203583485,0.0007850855258385,0.0005931116693317,0.0007572303286145,0.0142819743853889,4.51706828455965e-05,0.0,0.0,2.509820946305224e-07,0.0,0.0005352693935869,0.0113172969612183,0.0,0.0059085298383275,6.813224755322376e-05,0.0042694678380248
SAMN53135004,"Chicago (CHI-C), IL",2025-07-14,7884719,961440061,1495534,4836864,1487159,65162,264,121,0.6217118920238859,1415966,4836427,1378,7157,1409364,4819333,1601,4146,3623,5791,79303,316,0,0,1,0,2382,52044,0,30615,449,16217,0.1896750033821378,0.6134474938091434,0.1886131045939763,0.0082643982147425,3.3484810523897246e-05,1.534609572722656e-05,0.1795835848190443,0.6133920699467297,0.0001747706358833,0.0009076881618544,0.178746259803024,0.611224101993163,0.000203056785329,0.0005258288192623,0.0004594975948079,0.0007344509724497,0.0100578068816034,4.007776668644915e-05,0.0,0.0,1.2687096613763166e-07,0.0,0.0003020967126712,0.0066006073669981,0.0,0.003882836237286,5.694596869694256e-05,0.0020567520760099
SAMN53135005,"Chicago (CHI-C), IL",2025-07-21,7957803,1078719643,1301991,4302058,2290629,63125,194,44,0.5485407572155048,1242694,4301810,1389,7610,1233907,4283907,2157,5115,5241,5178,59101,204,0,0,2,0,2672,32634,0,16371,387,10906,0.1636121331715118,0.5406082275321311,0.2878471096129834,0.0079325296833736,2.4379381770188303e-05,5.529720023253042e-06,0.1561607229981331,0.5405770613386498,0.000174533694357,0.0009563080047842,0.1550565419025026,0.5383273246340867,0.0002710529773357,0.0006427537106831,0.0006585944239375,0.0006506749890956,0.0074267792332042,2.5636473457947957e-05,0.0,0.0,2.515584043147298e-07,0.0,0.0003357707381453,0.0041008750532992,0.0,0.0020572170017842,4.8631741926590736e-05,0.0013704855384354
SAMN53135006,"Chicago (CHI-C), IL",2025-07-28,7952984,970579470,1640328,4806079,1432248,74329,83,111,0.6136574478786126,1585844,4805617,1082,7618,1579568,4787885,2320,4587,2874,5527,54397,351,0,0,4,0,4419,33308,0,12612,645,13271,0.206253203709136,0.6043113755639535,0.1800893484122513,0.0093460723146591,1.043708182254685e-05,1.3956883794456776e-05,0.1994024435159156,0.604253284971304,0.0001360507654125,0.0009578775538802,0.1986132988632822,0.6020236798255794,0.0002917165667994,0.0005767648216817,0.0003613773204213,0.0006949627701625,0.0068398202629936,4.413370885503159e-05,0.0,0.0,5.028484041483733e-07,0.0,0.0005556371855655,0.0041881110259632,0.0,0.0015858198467057,8.110223623619445e-05,0.0016686785258872
SAMN53135053,"Chicago (CHI-C), IL",2025-08-04,7970917,996405812,818352,5738148,1379064,35353,163,48,0.7243210356479621,766313,5737896,683,3446,762280,5729051,808,2869,2542,2530,51875,204,0,0,1,0,1861,17577,0,8628,772,4702,0.1026671812678003,0.7198857782795482,0.1730117830842375,0.0044352573684139,2.0449081435260533e-05,6.0220249438166275e-06,0.0961385679107168,0.7198541633544826,8.568703267601656e-05,0.0004323220223628,0.0956326018945833,0.718744501265271,0.0001013695968024,0.0003599358263039,0.000318909386655,0.0003174042405447,0.0065080388301914,2.559290012176696e-05,0.0,0.0,1.2544545681715773e-07,0.0,0.0002334781057915,0.0022051406961924,0.0,0.001082429892168,9.685225558582984e-05,0.0005898933466566
SAMN53135054,"Chicago (CHI-C), IL",2025-08-11,7988429,959374853,1559545,4647742,1732018,49124,142,50,0.5879585572331345,1514485,4647428,1816,6418,1508138,4629066,1197,4416,3334,7528,44918,264,0,0,0,0,2513,28702,0,14092,1743,7892,0.1952255190547206,0.58180915854008,0.2168159237121448,0.0061493986930545,1.7776069819158678e-05,6.25912122205585e-06,0.189584859726196,0.581769850912856,0.0002273280397331,0.0008034140208416,0.1887903331549551,0.5794712727650373,0.0001498421466855,0.0005527995138552,0.0004173563848222,0.0009423646131219,0.0056228832587053,3.3048506001897046e-05,0.0,0.0,0.0,0.0,0.000314579610647,0.003592945205849,0.0,0.0017640481850964,0.0002181911296657,0.0009879304078045
SAMN53135055,"Chicago (CHI-C), IL",2025-08-18,7970582,907620155,555147,3918936,2949758,546741,274,440,0.5602698420254087,308378,3915980,6334,79350,290621,3774633,1778,11340,9645,50657,246493,2512,0,0,2,4,6827,223015,0,160227,25426,22858,0.0696494852864272,0.491674929826898,0.3700806726881639,0.0685949121985108,3.437663238987558e-05,5.520221167537839e-05,0.0386895297463703,0.4913040664495667,0.0007946714589699,0.0099553562480861,0.0364617152553133,0.4735704805257797,0.0002230702505906,0.001422728722147,0.0012100727814963,0.0063555009535539,0.0309253280084425,0.0003151594022064,0.0,0.0,2.508992245137719e-07,5.017634494145867e-07,0.0008565198330699,0.0279797455062086,0.0,0.0201022896147603,0.0031899758631811,0.0028677985558627
SAMN53135056,"Chicago (CHI-C), IL",2025-08-26,7959332,979291084,1342102,4499010,2085840,32380,245,14,0.5693177765047223,1311578,4498969,1336,3353,1300167,4489900,911,2455,9164,3261,30278,27,0,0,1,0,2740,23378,0,12477,1529,4794,0.1686200025845369,0.5652495951350136,0.2620622209107408,0.0040681813697085,3.078175080986927e-05,1.7588813587527903e-06,0.1647849920304711,0.5652444440649169,0.0001678520904085,0.000421268281135,0.1633513301303776,0.564105026875467,0.0001144560696911,0.0003084431236479,0.0011513537399937,0.0004097057846669,0.0038041031248438,3.392188737924424e-06,0.0,0.0,1.2567841206834493e-07,0.0,0.0003442513240917,0.0029371964168142,0.0,0.0015676040636477,0.0001921010910475,0.0006023174352769
SAMN53135057,"Chicago (CHI-C), IL",2025-09-08,7959772,1138166808,1568927,5529689,842417,18739,291,124,0.6970588134448008,1540468,5529121,565,2245,1537883,5523133,873,1805,1147,1938,28167,444,0,0,1,0,1272,20898,0,10020,1413,6786,0.1971069475422858,0.6947045977079713,0.1058342390129132,0.0023542157368296,3.655858897876127e-05,1.5578078802293662e-05,0.1935315938738197,0.6946332393755086,7.098144777274376e-05,0.0002820438974671,0.1932068375040846,0.6938809577458367,0.0001096762092651,0.0002267640863482,0.0001440987126971,0.0002434736458566,0.0035386694177526,5.5780253660333106e-05,0.0,0.0,1.2566173469490336e-07,0.0,0.0001598032842365,0.0026254531603246,0.0,0.0012588295922194,0.0001775174925028,0.0008525379828366
SAMN53135058,"Chicago (CHI-C), IL",2025-09-15,7949753,891180574,1632480,4315208,1926995,75070,249,91,0.5522533736690665,1604541,4315034,963,2724,1599955,4307714,1127,2692,2496,1904,27687,83,0,0,3,0,1854,19671,0,9159,972,5765,0.2053497603765053,0.5428103049968858,0.2423968659544282,0.0094430686721807,3.132163527077099e-05,1.1446664557271724e-05,0.2018353120835652,0.5427884180387302,0.0001211369356114,0.0003426523145934,0.2012584390914414,0.5418676342222628,0.0001417655036418,0.0003386267336381,0.0003139705528705,0.0002395047682359,0.0034827492535992,1.0440293598157672e-05,0.0,0.0,3.7740407010411e-07,0.0,0.0002332152811109,0.0024744132007561,0.0,0.001152108461998,0.0001222673973283,0.0007251798975215
SAMN53135059,"Chicago (CHI-C), IL",2025-09-22,7941792,1345453409,1610788,4261930,2018536,50538,699,210,0.5430090896251438,1547653,4261450,1827,5831,1540503,4244974,1947,4499,3376,6146,62434,270,0,0,2,0,3595,50007,0,27274,3999,11563,0.2028244541677762,0.5366455190467222,0.2541664562070799,0.0063635705784215,8.801748390718073e-05,2.6442607758357585e-05,0.1948747398985774,0.536585079814313,0.0002300478700795,0.0007342244442052,0.1939744469963865,0.5345104822825263,0.0002451563597481,0.0005664984928164,0.000425088672363,0.0007738745947649,0.0078614451179786,3.399662465090436e-05,0.0,0.0,2.5166731307529506e-07,0.0,0.0004526662093971,0.0062966852538771,0.0,0.0034342390124792,0.0005035377993373,0.0014559685437727
SAMN53135060,"Chicago (CHI-C), IL",2025-09-29,7953043,865358383,1448383,4953381,1484966,66313,234,152,0.6311663628332995,1392991,4952875,1293,5089,1387612,4938280,1196,3904,2890,5602,55155,354,0,0,3,0,3030,33597,1,18481,2391,7136,0.1821169140792922,0.6228282932142017,0.1867167230874082,0.0083380696190978,2.942304034312449e-05,1.9112347226371644e-05,0.1751520411731444,0.622764669545452,0.0001625785808767,0.0006398811896069,0.1744756953517852,0.6209295219233344,0.0001503833108245,0.0004908833975064,0.0003633839296578,0.0007043830350042,0.0069350725905663,4.45113215233974e-05,0.0,0.0,3.7727523836199354e-07,0.0,0.0003809872162342,0.0042244186165269,1.2571291795773833e-07,0.0023237558593422,0.0003006415934509,0.0008972695204188
SAMN53135061,"Chicago (CHI-C), IL",2025-10-06,7967305,1161224435,1045403,5065638,1533929,322335,280,113,0.6762603942975558,970479,5064261,1141,12920,964892,5032081,1380,4327,3066,14933,74644,1264,0,0,0,0,5101,52847,0,24278,3755,15436,0.1312115942655749,0.6358031411015299,0.1925280114368691,0.0404572531960258,3.514331911637618e-05,1.418300742266969e-05,0.1218076458508857,0.6356303097348616,0.0001432098087265,0.0016216298530897,0.1211064064533909,0.6315912954491363,0.0001732081655259,0.0005430938472915,0.0003848214232422,0.001874290585344,0.0093688050955728,0.0001586483592457,0.0,0.0,0.0,0.0,0.0006402415371876,0.0066329922441674,0.0,0.0030472114370314,0.0004713019165251,0.0019374195591805
SAMN53135062,"Chicago (CHI-C), IL",2025-10-13,7966178,1286931496,1702097,4802626,1419540,41915,163,41,0.6081385444092046,1663431,4802314,800,3176,1658512,4792587,1564,3202,2555,3349,38502,271,0,0,1,0,1958,29281,0,14453,3513,7408,0.2136655448809196,0.6028769151062323,0.1781959107098757,0.0052616293029722,2.046045482467691e-05,5.146742072565046e-06,0.2088117868428237,0.6028377503334412,0.0001004243296738,0.0003986881967604,0.2081942990601692,0.6016167089748794,0.0001963328274322,0.000401949708379,0.0003207306255482,0.0004204034534224,0.0048331720636199,3.401803071856907e-05,0.0,0.0,1.255196513566164e-07,0.0,0.0002457846697432,0.003675655375678,0.0,0.0018142924130741,0.0004409872450175,0.0009299310686096
SAMN53135063,"Chicago (CHI-C), IL",2025-10-20,7968527,1277155419,1546655,4712250,1631341,78281,244,102,0.6011813697886397,1500590,4712038,2349,8125,1492934,4687385,1613,4808,3694,11720,45821,110,0,0,0,0,3097,33679,1,13767,2580,11684,0.1940955081293045,0.5913575857957086,0.2047231220820557,0.0098237839929311,3.062043839644567e-05,1.2800241088597409e-05,0.1883146390854336,0.5913309815183974,0.0002947858403534,0.00101963467535,0.1873538569244346,0.5882371850743617,0.0002024212253531,0.0006033742939484,0.0004635750952924,0.0014707874747369,0.0057502486054745,1.380403622271605e-05,0.0,0.0,0.0,0.0,0.0003886560575431,0.0042265050173261,1.2553629103530281e-07,0.0017276736148756,0.0003237738150226,0.001466267123737
SAMN54610790,"Chicago (CHI-C), IL",2025-10-27,7977618,1615639819,712846,6241201,921507,102064,187,143,0.7951327499425995,667017,6240803,1162,9976,658605,6213732,3521,5592,3729,11503,45641,255,0,0,1,0,2504,39209,0,19497,3662,11223,0.089355732669466,0.7823389561158061,0.1155115173879343,0.0127937938267934,2.3440459608100675e-05,1.7925219558112033e-05,0.0836110411691385,0.7822890665764997,0.0001456570413508,0.0012505008835389,0.0825565909598081,0.7788956967967773,0.0004413600201624,0.0007009616930632,0.0004674331478171,0.00144190720312,0.0057211257118564,3.196431974839479e-05,0.0,0.0,1.2532886293634497e-07,0.0,0.0003138783077063,0.0049148725684995,0.0,0.0024439603672292,0.000459032613842,0.0014068116453002
SAMN54610791,"Chicago (CHI-C), IL",2025-11-03,7949238,1506932149,1084690,4525338,2240541,98669,459,208,0.5816917860419891,957996,4525002,1486,8676,948317,4499586,3232,7794,4961,8946,126229,128,0,0,6,0,4764,107256,0,64531,6351,26789,0.1364521617835765,0.569279396443712,0.2818560521744343,0.0124123895982771,5.774217241442112e-05,2.616552001522471e-05,0.1205142699048531,0.569237128975594,0.0001869369298669,0.0010914237774016,0.1192966707228418,0.5660398395747976,0.0004065794978226,0.0009804723241139,0.0006240827543216,0.0011253932992808,0.0158793948315617,1.6101948102720984e-05,0.0,0.0,7.548747473058923e-07,0.0,0.0005993055639868,0.0134926307275675,0.0,0.0081178922209743,0.0007989463888499,0.0033700101211897
SAMN54610792,"Chicago (CHI-C), IL",2025-11-10,7963303,1270357646,878690,5198501,1773188,112924,226,69,0.666987752163122,803479,5198101,1503,11568,793603,5169766,3964,7038,4409,9729,74984,331,0,0,1,0,3645,61831,0,32933,5354,16158,0.1103424171985445,0.6528071947974313,0.2226698306383334,0.0141805573656906,2.8380489359383e-05,8.66461579794074e-06,0.1008977307920018,0.6527569648268743,0.000188739699112,0.0014526633482904,0.0996575465086272,0.6491987685356141,0.0004977826902759,0.0008838069227061,0.0005536618939865,0.0012217260202635,0.0094161803816487,4.1565354759240945e-05,0.0,0.0,1.2553553459056333e-07,0.0,0.0004577235332657,0.0077644844591172,0.0,0.0041355920921646,0.0006723316171916,0.0020290564501775
SAMN54610793,"Chicago (CHI-C), IL",2025-11-17,7965185,889995956,339485,7495305,122161,8234,44,23,0.9420420344431796,334476,7495242,104,1583,333862,7491797,180,456,330,1406,4965,40,0,0,0,0,499,4200,0,2303,308,781,0.0426211063840314,0.941008284871977,0.0153368591727888,0.0010337495712027,5.52400388338415e-06,2.887564452399589e-06,0.0419922453469752,0.9410003753931934,1.3056939114602787e-05,0.0001987408293424,0.0419151593471638,0.9405678672133742,2.2598351902016746e-05,5.7249649436253026e-05,4.1430708794778256e-05,0.0001765177010405,0.0006233370331727,5.0219143312655446e-06,0.0,0.0,0.0,0.0,6.264765416665993e-05,0.0005272941413706,0.0,0.0002891327530326,3.8668396244109826e-05,9.805150728201072e-05
SAMN54610794,"Chicago (CHI-C), IL",2025-11-24,7970407,684872389,644104,6021785,1215053,89465,216,174,0.7667425332317409,552329,6020197,719,10116,543050,5996155,2679,5969,5881,7957,91558,1413,0,0,1,1,6138,76131,0,50117,4216,11232,0.0808119247958408,0.7555178793524652,0.1524455419724182,0.0112246538792757,2.710027767271764e-05,2.183040745919416e-05,0.0692974647239976,0.7553186429500254,9.020933986150916e-05,0.001269199590685,0.0681332865473568,0.7523022279679852,0.00033611590867,0.0007488971875957,0.0007378529281092,0.0009983182037594,0.0114872343444332,0.0001772805578321,0.0,0.0,1.2544973730825009e-07,1.2543714846239144e-07,0.0007700968229521,0.0095516970896954,0.0,0.0062878797606912,0.0005289563534312,0.0014092100616909
SAMN54610795,"Chicago (CHI-C), IL",2025-12-01,7966671,783121072,935950,5296221,1611725,122775,291,174,0.6802083630004001,880173,5296018,1302,10307,867447,5263796,6622,12756,4802,9159,55483,29,0,0,3,0,3628,44243,0,27473,1850,8316,0.1174831929557521,0.6647972839751705,0.2023084440438477,0.0154110790252296,3.65270908209992e-05,2.1841206117961264e-05,0.1104819032517183,0.6647718026980295,0.0001634311523259,0.0012937602090586,0.1088844983616723,0.6607272095968539,0.0008312127106551,0.0016011704820605,0.0006027610270648,0.0011496624100562,0.0069643860315534,3.6400710230531857e-06,0.0,0.0,3.765816593167737e-07,0.0,0.000455398842689,0.0055535096082292,0.0,0.0034484868555686,0.0002322172123825,0.0010438498812798
SAMN55038719,"Chicago (CHI-C), IL",2025-12-08,7977447,1221211656,368320,2717352,4077467,814308,66,30,0.4427054645971536,330615,2717207,834,89019,297999,2510212,21758,79259,10024,38717,37638,115,0,0,1,0,2287,32544,0,24294,544,3647,0.0461701487574891,0.3406292082358412,0.5111243866453571,0.1020762563613124,8.272995102035223e-06,3.760773679530033e-06,0.0414437009471019,0.340611032206908,0.0001045459055768,0.0111588216604204,0.0373551777414798,0.3146635235166329,0.0027274382873865,0.0099353814703265,0.0012565390126587,0.004853305559528,0.0047180494552511,1.4415255253660544e-05,0.0,0.0,1.2536003401769888e-07,0.0,0.0002866841178947,0.0040794992401417,0.0,0.003045332072138,6.819212510488895e-05,0.0004571646933875
SAMN55038720,"Chicago (CHI-C), IL",2025-12-15,7981889,1135272171,94611,6621574,391017,874687,28,43,0.939158720172836,86101,6621391,661,115037,82346,6450673,1432,5314,1662,50367,8482,140,0,0,0,0,579,7440,0,5426,160,856,0.0118532179491507,0.8295747263908475,0.0489880618780133,0.1095839937819884,3.507902054454764e-06,5.387521944716765e-06,0.0107870566939982,0.8295517990199691,8.281358468428674e-05,0.0144122247329375,0.0103166141909431,0.8081636586777853,0.0001794080935253,0.0006657589521781,0.0002082208248454,0.0063101566570682,0.001062653353098,1.7539848933591514e-05,0.0,0.0,0.0,0.0,7.253868365040903e-05,0.0009321088752528,0.0,0.0006797888073465,2.004515821300795e-05,0.0001072431034784
SAMN55038721,"Chicago (CHI-C), IL",2025-12-22,7970776,856030951,172221,4390700,1453874,1953981,16,15,0.7959928283511147,170903,4390651,1562,197173,150470,4053990,12631,23047,6240,116441,1302,34,0,0,0,0,107,1019,0,724,18,107,0.0216065543357172,0.5508496125068657,0.182400617313168,0.245143215844249,2.0073904127361555e-06,1.8818116222530256e-06,0.0214412008993668,0.5508434652924967,0.0001959674913702,0.0247369916634415,0.0188777030068959,0.5086065157001024,0.0015846685755949,0.0028914320263357,0.0007828618255057,0.0146085259026169,0.0001633460459376,4.265402746762263e-06,0.0,0.0,0.0,0.0,1.3423742628125424e-05,0.0001278418696848,0.0,9.083204780095667e-05,2.258212964737216e-06,1.3423860507028856e-05
SAMN55038722,"Chicago (CHI-C), IL",2025-12-29,7958251,969168863,51653,7821924,69777,14897,6,16,0.984741617975891,47641,7821814,151,2866,46858,7814747,295,831,337,3370,4006,94,0,0,0,0,360,3315,0,2223,50,449,0.0064905076522238,0.9828697224332256,0.0087678743718852,0.0018718955426655,7.539945490226898e-07,2.0105414495865097e-06,0.0059863773037258,0.9828559000249316,1.8974158452759792e-05,0.0003601288943085,0.005887988255518,0.9819678906453696,3.7068795516810464e-05,0.0001044207904514,4.23460942382905e-05,0.000423459694802,0.0005033763539489,1.1811866844203732e-05,0.0,0.0,0.0,0.0,4.523532242296217e-05,0.0004165482337769,0.0,0.0002793335475719,6.28265371899279e-06,5.641891862924697e-05
SAMN47830430,"Chicago (CHI-D1), IL",2024-09-15,7896822,830929363,880157,4701001,2164192,151472,230,188,0.6144854147786502,808421,4700442,2845,16417,793050,4662318,4793,14128,7733,7579,71506,371,0,0,0,0,1442,17430,0,9749,1959,2940,0.1114567648298299,0.5953039468209202,0.2740578203915199,0.0191814679577298,2.91220866480816e-05,2.3803533722720112e-05,0.1023727584946088,0.5952331702314488,0.0003602627304275,0.0020789216946879,0.1004263812528565,0.5904054447809475,0.0006069341914861,0.0017890632253354,0.0009791803198385,0.0009597405304779,0.009054884248573,4.697305574874695e-05,0.0,0.0,0.0,0.0,0.000182616342515,0.0022072282390988,0.0,0.0012345524990183,0.000248073880658,0.0003722954739684
SAMN47830457,"Chicago (CHI-D1), IL",2024-10-27,3982845,974508151,328233,2765667,686845,202100,77,153,0.7451375570208928,316816,2765407,1126,35141,309237,2686835,3045,4508,3408,38923,11340,107,0,0,0,0,309,2786,0,1522,331,315,0.0824116466956358,0.6943949131344265,0.1724507962834713,0.0507426438864663,1.9333581075526115e-05,3.841448473240399e-05,0.0795450952669297,0.6943296348313536,0.0002827178887264,0.0088231187899463,0.0776421753164375,0.6746020099780388,0.0007645311269245,0.0011318554694333,0.0008556709348412,0.0097726505939352,0.0028472178476305,2.686381834039809e-05,0.0,0.0,0.0,0.0,7.758146380507021e-05,0.0006995022807065,0.0,0.0003821424442566,8.310651928097633e-05,7.908903772901014e-05
SAMN47830463,"Chicago (CHI-D1), IL",2024-11-03,7945621,851024254,551920,6043916,1240825,108960,146,272,0.7743732167815451,511700,6042846,1452,13821,501716,6002688,4524,8810,4008,17527,40074,798,0,0,0,0,974,8256,0,5008,557,914,0.0694621956959627,0.7606599956674949,0.1561645875224922,0.0137132211140501,1.8374317919614995e-05,3.423252152068653e-05,0.0644002889551612,0.7605253295786484,0.0001827403838611,0.0017394505078742,0.0631437499362511,0.7554712271709878,0.0005693699987889,0.0011087871877282,0.00050442863626,0.002205864712058,0.0050435324228819,0.0001004335673258,0.0,0.0,0.0,0.0,0.0001225843828314,0.0010390650464901,0.0,0.0006302831669393,7.010197835943447e-05,0.0001150327808163
