sra_accession,site_name,date,total_read_pairs,total_virus_hits,dedup_virus_hits,dup_virus_hits,dup_rate,ra,ra_dedup,below_species_counts,species_counts,genus_counts,family_counts,order_counts,class_counts,phylum_counts,kingdom_counts,domain_counts,realm_counts,unresolved_counts
SAMN53135031,"Chicago (CHI-A), IL",2025-08-03,934120808,110037,44694.0,65343.0,0.5938275307396603,0.0001177973973576,4.784605975718721e-05,93837,14598,1454,136,0,0,0,0,0,0,12
SAMN53135032,"Chicago (CHI-A), IL",2025-08-10,781221384,107561,47455.0,60106.0,0.558808490066102,0.0001376831231235,6.074462498328131e-05,93873,11795,1752,115,0,0,0,0,0,0,26
SAMN53135033,"Chicago (CHI-A), IL",2025-08-17,877534199,76592,23117.0,53475.0,0.6981799665761437,8.728092886554271e-05,2.6343132867463324e-05,62631,11958,1840,133,0,0,0,0,0,0,30
SAMN53135034,"Chicago (CHI-A), IL",2025-08-26,799770794,54427,6792.0,47635.0,0.8752089955353042,6.805324776588429e-05,8.492433145789517e-06,43147,10275,971,34,0,0,0,0,0,0,0
SAMN53135035,"Chicago (CHI-A), IL",2025-08-31,1018579834,72918,,,,7.158790854286636e-05,,60465,11594,788,62,0,0,0,0,0,0,9
SAMN53135036,"Chicago (CHI-A), IL",2025-09-07,1255474288,143480,,,,0.0001142835033512,,119024,22223,2037,179,0,0,0,0,0,0,17
SAMN53135037,"Chicago (CHI-A), IL",2025-09-14,898134070,43765,21205.0,22560.0,0.5154804067176968,4.87288050435499e-05,2.3610060800833443e-05,36337,6977,396,47,0,0,0,0,0,0,8
SAMN53135038,"Chicago (CHI-A), IL",2025-09-21,1186117272,71695,26503.0,45192.0,0.630336843573471,6.0445119291711995e-05,2.2344333587952337e-05,59822,10812,962,94,0,0,0,0,0,0,5
SAMN53135039,"Chicago (CHI-A), IL",2025-09-28,844909740,59429,14248.0,45181.0,0.7602517289538777,7.033769074552271e-05,1.6863339745615905e-05,46979,11486,838,105,0,0,0,0,0,0,21
SAMN53135040,"Chicago (CHI-A), IL",2025-10-05,558115816,18259,9709.0,8550.0,0.4682622268470343,3.271543195256807e-05,1.7396030934195924e-05,14563,3393,276,19,0,0,0,0,0,0,8
SAMN53135041,"Chicago (CHI-A), IL",2025-10-12,1275989326,62488,25217.0,37271.0,0.5964505184995519,4.897219649625815e-05,1.976270450400304e-05,50969,10604,799,104,0,0,0,0,0,0,12
SAMN53135042,"Chicago (CHI-A), IL",2025-10-19,1395606124,17469,5679.0,11790.0,0.6749098402885111,1.25171419783767e-05,4.069199684881865e-06,12552,4560,337,17,0,0,0,0,0,0,3
SAMN54610778,"Chicago (CHI-A), IL",2025-10-26,1484650638,101783,63392.0,38391.0,0.377184795103308,6.85568694714022e-05,4.269826070690713e-05,88961,11867,819,119,0,0,0,0,0,0,17
SAMN54610779,"Chicago (CHI-A), IL",2025-11-02,934952196,58296,36291.0,22005.0,0.3774701523260601,6.235185098169447e-05,3.881588829382246e-05,51145,6449,640,52,0,0,0,0,0,0,10
SAMN54610780,"Chicago (CHI-A), IL",2025-11-09,1142997449,18982,11698.0,7284.0,0.3837319565904541,1.6607211167975232e-05,1.0234493532977256e-05,16069,2650,226,31,0,0,0,0,0,0,6
SAMN54610781,"Chicago (CHI-A), IL",2025-11-16,1346209605,123462,48645.0,74817.0,0.605992127132235,9.171082983024772e-05,3.613478898035347e-05,110464,11817,1092,79,0,0,0,0,0,0,10
SAMN54610782,"Chicago (CHI-A), IL",2025-11-23,684202127,80237,28240.0,51997.0,0.6480426735795207,0.000117270901147,4.12743528346266e-05,72444,6901,848,42,0,0,0,0,0,0,2
SAMN54610783,"Chicago (CHI-A), IL",2025-11-30,748282118,64247,18427.0,45820.0,0.7131850514420907,8.585932825939855e-05,2.4625738817936045e-05,56259,6280,1647,53,0,0,0,0,0,0,8
SAMN55038709,"Chicago (CHI-A), IL",2025-12-07,980728657,35395,23328.0,12067.0,0.3409238593021613,3.6090512648291055e-05,2.37863957920422e-05,31264,3762,321,46,0,0,0,0,0,0,2
SAMN55038710,"Chicago (CHI-A), IL",2025-12-14,943290003,113342,54406.0,58936.0,0.5199837659473099,0.000120156049189,5.7676854230373945e-05,103339,8921,958,116,0,0,0,0,0,0,8
SAMN55038711,"Chicago (CHI-A), IL",2025-12-21,953046343,74311,46627.0,27684.0,0.3725424230598431,7.797207401907003e-05,4.892416863300424e-05,68065,5415,772,52,0,0,0,0,0,0,7
SAMN55038712,"Chicago (CHI-A), IL",2025-12-28,640377947,1333,1102.0,231.0,0.1732933233308327,2.0815832372815925e-06,1.720858760303312e-06,1176,150,5,2,0,0,0,0,0,0,0
SAMN47830447,"Chicago (CHI-C), IL",2024-10-14,1562453067,45564,23516.0,22048.0,0.4838907909753314,2.9161835937565477e-05,1.5050692079444072e-05,34178,7716,3419,248,0,0,0,0,0,0,3
SAMN47830477,"Chicago (CHI-C), IL",2024-11-18,823070754,67733,20648.0,47085.0,0.6951559800983272,8.229304670446352e-05,2.508654316734476e-05,55327,11723,496,187,0,0,0,0,0,0,0
SAMN47830484,"Chicago (CHI-C), IL",2024-11-25,675227989,35868,25843.0,10025.0,0.2794970447195271,5.311983594329352e-05,3.827299878115686e-05,31527,4038,231,69,0,0,0,0,0,0,3
SAMN47830495,"Chicago (CHI-C), IL",2024-12-09,796029608,85444,44169.0,41275.0,0.4830649314170684,0.0001073377160111,5.548662958777784e-05,75281,9032,968,160,0,0,0,0,0,0,3
SAMN47830503,"Chicago (CHI-C), IL",2024-12-16,1504975927,8788,4943.0,3845.0,0.4375284478834774,5.839296059384742e-06,3.28443791779003e-06,7820,893,61,14,0,0,0,0,0,0,0
SAMN47830519,"Chicago (CHI-C), IL",2024-12-30,1154328055,18640,13418.0,5222.0,0.2801502145922747,1.6147922524502793e-05,1.1624078564043913e-05,17217,1309,82,32,0,0,0,0,0,0,0
SAMN47830526,"Chicago (CHI-C), IL",2025-01-06,1147310223,201176,99569.0,101607.0,0.5050652165268222,0.0001753457748105,8.678472308879618e-05,192427,7464,1103,181,0,0,0,0,0,0,1
SAMN47830534,"Chicago (CHI-C), IL",2025-01-13,770294164,172324,73749.0,98575.0,0.5720329147419976,0.0002237119376643,9.574134589964256e-05,158236,13317,400,365,0,0,0,0,0,0,6
SAMN47830554,"Chicago (CHI-C), IL",2025-02-02,890534005,19111,15325.0,3786.0,0.1981058029407147,2.14601574928068e-05,1.7208775761460114e-05,18073,996,38,3,0,0,0,0,0,0,1
SAMN47830563,"Chicago (CHI-C), IL",2025-02-10,889814688,32052,21908.0,10144.0,0.3164857107200798,3.6020983281408814e-05,2.462085678675603e-05,29372,2504,167,9,0,0,0,0,0,0,0
SAMN47830574,"Chicago (CHI-C), IL",2025-02-20,1195468416,259232,123373.0,135859.0,0.5240826749783978,0.0002168455448345,0.0001032005516405,242187,16101,698,244,0,0,0,0,0,0,2
SAMN47830586,"Chicago (CHI-C), IL",2025-03-03,1067490723,30925,22028.0,8897.0,0.287696038803557,2.8969806794283498e-05,2.063530813466376e-05,28731,2000,182,10,0,0,0,0,0,0,2
SAMN47830595,"Chicago (CHI-C), IL",2025-03-10,834933948,100933,14129.0,86804.0,0.8600160502511567,0.0001208874070119,1.6922296708433754e-05,94701,5341,841,50,0,0,0,0,0,0,0
SAMN53134989,"Chicago (CHI-C), IL",2025-03-17,512191515,57489,30153.0,27336.0,0.4754996608046756,0.0001122412189901,5.8870557432018375e-05,54453,2765,268,3,0,0,0,0,0,0,0
SAMN53134990,"Chicago (CHI-C), IL",2025-03-24,356906372,202922,49938.0,152984.0,0.7539054414996895,0.0005685580755055,0.0001399190485733,166420,35633,869,0,0,0,0,0,0,0,0
SAMN53134991,"Chicago (CHI-C), IL",2025-03-31,667877969,273255,125322.0,147933.0,0.5413734423889773,0.0004091391132561,0.0001876420630967,237999,34075,1148,30,0,0,0,0,0,0,3
SAMN53134992,"Chicago (CHI-C), IL",2025-04-07,1140282787,272752,132429.0,140323.0,0.5144710212940693,0.000239196805485,0.0001161369806768,196451,75412,855,22,0,0,0,0,0,0,12
SAMN53134993,"Chicago (CHI-C), IL",2025-04-14,1139806715,58933,42437.0,16496.0,0.2799110854699404,5.1704380422078846e-05,3.723175117458402e-05,56224,2274,343,86,0,0,0,0,0,0,6
SAMN53134994,"Chicago (CHI-C), IL",2025-04-21,672698950,381842,167356.0,214486.0,0.5617140073643025,0.0005676268708312,0.0002487829065289,291532,87739,2286,276,0,0,1,1,0,0,7
SAMN53134995,"Chicago (CHI-C), IL",2025-04-28,679588215,222561,48528.0,174033.0,0.781956407456832,0.0003274939074686,7.140794812046586e-05,48330,174033,190,7,0,0,0,0,0,0,1
SAMN53134996,"Chicago (CHI-C), IL",2025-05-05,791639207,387559,164259.0,223300.0,0.5761703379356433,0.000489565191533,0.0002074922496859,326875,59072,1575,28,0,0,0,0,0,0,9
SAMN53134997,"Chicago (CHI-C), IL",2025-05-12,568797866,97044,14856.0,82188.0,0.8469148015333251,0.0001706124544426,2.6118241449239193e-05,84500,11971,573,0,0,0,0,0,0,0,0
SAMN53134998,"Chicago (CHI-C), IL",2025-05-19,1052405290,185273,102856.0,82417.0,0.4448408564658639,0.0001760471956578,9.773421036300568e-05,172114,12525,618,16,0,0,0,0,0,0,0
SAMN53134999,"Chicago (CHI-C), IL",2025-06-02,1051001160,530312,164776.0,365536.0,0.6892847983828387,0.0005045779397617,0.0001567800362846,434092,87191,8870,150,0,0,0,0,0,0,9
SAMN53135000,"Chicago (CHI-C), IL",2025-06-09,1397184614,288410,117432.0,170978.0,0.5928296522311987,0.0002064222559496,8.404902174223341e-05,261611,25142,1561,88,0,0,0,0,0,0,8
SAMN53135001,"Chicago (CHI-C), IL",2025-06-16,1557742559,194987,42422.0,152565.0,0.7824367778364711,0.0001251728014192,2.723299800400459e-05,186202,7621,1116,37,0,0,0,0,0,0,11
SAMN53135002,"Chicago (CHI-C), IL",2025-06-23,1429031432,411380,188890.0,222490.0,0.5408381545043512,0.0002878733041051,0.0001321804375818,398708,11562,987,107,0,0,0,0,0,0,16
SAMN53135003,"Chicago (CHI-C), IL",2025-06-30,1446263325,184898,78488.0,106410.0,0.5755064954731798,0.0001278453216671,5.426950863183923e-05,163406,20684,765,43,0,0,0,0,0,0,0
SAMN53135004,"Chicago (CHI-C), IL",2025-07-14,961440061,33205,2287.0,30918.0,0.9311248305978016,3.453673437058912e-05,2.3787234303730556e-06,28452,4478,275,0,0,0,0,0,0,0,0
SAMN53135005,"Chicago (CHI-C), IL",2025-07-21,1078719643,90085,39174.0,50911.0,0.565144030637731,8.351104069030103e-05,3.631527455183274e-05,83512,6001,508,64,0,0,0,0,0,0,0
SAMN53135006,"Chicago (CHI-C), IL",2025-07-28,970579470,51764,8399.0,43365.0,0.8377443783324318,5.333308770687268e-05,8.653593301329566e-06,45350,5913,423,78,0,0,0,0,0,0,0
SAMN53135053,"Chicago (CHI-C), IL",2025-08-04,996405812,78933,57082.0,21851.0,0.2768297163417075,7.921772339079853e-05,5.728790349528792e-05,74794,3873,229,36,0,0,0,0,0,0,1
SAMN53135054,"Chicago (CHI-C), IL",2025-08-11,959374853,96799,56991.0,39808.0,0.4112439178090682,0.000100897995916,5.94043087764778e-05,88980,7332,474,13,0,0,0,0,0,0,0
SAMN53135055,"Chicago (CHI-C), IL",2025-08-18,907620155,217842,35023.0,182819.0,0.8392275135189725,0.0002400145025426,3.858772836528735e-05,202096,13235,2431,56,0,0,0,0,0,0,24
SAMN53135056,"Chicago (CHI-C), IL",2025-08-26,979291084,44428,22217.0,22211.0,0.4999324750157558,4.536751199503415e-05,2.268681943804974e-05,38101,5968,329,30,0,0,0,0,0,0,0
SAMN53135057,"Chicago (CHI-C), IL",2025-09-08,1138166808,26511,,,,2.3292719321683117e-05,,22170,4175,119,20,0,0,0,0,0,0,27
SAMN53135058,"Chicago (CHI-C), IL",2025-09-15,891180574,44377,28173.0,16204.0,0.3651441061811298,4.9795744313430246e-05,3.161312176447868e-05,39485,4458,411,22,0,0,0,0,0,0,1
SAMN53135059,"Chicago (CHI-C), IL",2025-09-22,1345453409,107019,65239.0,41780.0,0.3903979667161906,7.9541215834104e-05,4.848848690233613e-05,96295,9789,916,19,0,0,0,0,0,0,0
SAMN53135060,"Chicago (CHI-C), IL",2025-09-29,865358383,70443,43177.0,27266.0,0.3870647189926607,8.140326757544106e-05,4.989493468626859e-05,64598,5339,476,30,0,0,0,0,0,0,0
SAMN53135061,"Chicago (CHI-C), IL",2025-10-06,1161224435,103122,28116.0,75006.0,0.7273520684238087,8.880453846116319e-05,2.4212373726014472e-05,89553,12755,789,25,0,0,0,0,0,0,0
SAMN53135062,"Chicago (CHI-C), IL",2025-10-13,1286931496,90733,34980.0,55753.0,0.6144732346555277,7.050336422879808e-05,2.7180933957031695e-05,82159,7924,554,88,0,0,0,0,0,0,8
SAMN53135063,"Chicago (CHI-C), IL",2025-10-20,1277155419,52516,31783.0,20733.0,0.3947939675527458,4.111950606694329e-05,2.4885773122965543e-05,45398,6681,422,8,0,0,0,0,0,0,7
SAMN54610790,"Chicago (CHI-C), IL",2025-10-27,1615639819,95950,60992.0,34958.0,0.3643355914538822,5.9388236704507714e-05,3.775098835936774e-05,85836,8957,1096,45,0,0,0,0,0,0,16
SAMN54610791,"Chicago (CHI-C), IL",2025-11-03,1506932149,152437,83521.0,68916.0,0.4520949638211195,0.0001011571755909,5.542452595189805e-05,141550,10266,522,94,0,0,0,0,0,0,5
SAMN54610792,"Chicago (CHI-C), IL",2025-11-10,1270357646,102697,50139.0,52558.0,0.5117773644799751,8.084101380691025e-05,3.946841281892044e-05,89652,12211,744,81,0,0,0,0,0,0,9
SAMN54610793,"Chicago (CHI-C), IL",2025-11-17,889995956,6251,5226.0,1025.0,0.1639737641977283,7.023627419718298e-06,5.871936793384711e-06,5593,626,32,0,0,0,0,0,0,0,0
SAMN54610794,"Chicago (CHI-C), IL",2025-11-24,684872389,72874,29143.0,43731.0,0.6000905672805116,0.000106405224054,4.2552452789858344e-05,65289,7128,440,17,0,0,0,0,0,0,0
SAMN54610795,"Chicago (CHI-C), IL",2025-12-01,783121072,138370,91724.0,46646.0,0.3371106453711064,0.000176690431336,0.0001171262059974,131661,6327,356,20,0,0,0,0,0,0,6
SAMN55038719,"Chicago (CHI-C), IL",2025-12-08,1221211656,83699,45103.0,38596.0,0.4611285678442992,6.853766878884097e-05,3.693299173685581e-05,71470,11318,532,375,0,0,0,0,0,0,4
SAMN55038720,"Chicago (CHI-C), IL",2025-12-15,1135272171,30039,15477.0,14562.0,0.4847697992609607,2.645973429749473e-05,1.3632854213599853e-05,28424,1476,126,11,0,0,0,0,0,0,2
SAMN55038721,"Chicago (CHI-C), IL",2025-12-22,856030951,3934,3433.0,501.0,0.1273512963904423,4.595628225129444e-06,4.010369012930702e-06,3646,265,23,0,0,0,0,0,0,0,0
SAMN55038722,"Chicago (CHI-C), IL",2025-12-29,969168863,18867,12640.0,6227.0,0.3300471723114432,1.946719578010215e-05,1.3042102860046176e-05,16916,1774,125,50,0,0,0,0,0,0,2
SAMN47830430,"Chicago (CHI-D1), IL",2024-09-15,830929363,7972,4873.0,3099.0,0.3887355745107878,9.59407665077302e-06,5.864517752034237e-06,6127,1721,62,62,0,0,0,0,0,0,0
SAMN47830457,"Chicago (CHI-D1), IL",2024-10-27,974508151,5155,2503.0,2652.0,0.5144519883608147,5.289848006617648e-06,2.5684751814867065e-06,4286,823,25,21,0,0,0,0,0,0,0
SAMN47830463,"Chicago (CHI-D1), IL",2024-11-03,851024254,9364,6724.0,2640.0,0.2819307988039299,1.1003211666397466e-05,7.901067411881307e-06,7811,1441,82,30,0,0,0,0,0,0,0
SAMN47830469,"Chicago (CHI-D1), IL",2024-11-10,798246009,10510,5908.0,4602.0,0.4378686964795433,1.3166367111770928e-05,7.401227107168663e-06,8527,1869,63,51,0,0,0,0,0,0,0
SAMN47830475,"Chicago (CHI-D1), IL",2024-11-17,731213525,33481,15214.0,18267.0,0.5455930229085153,4.5788266840387015e-05,2.080650792119853e-05,28576,4484,348,73,0,0,0,0,0,0,0
SAMN47830482,"Chicago (CHI-D1), IL",2024-11-24,674465839,30394,11916.0,18478.0,0.6079489372902547,4.5063809377008346e-05,1.766731435600551e-05,24996,5096,194,108,0,0,0,0,0,0,0
SAMN47830489,"Chicago (CHI-D1), IL",2024-12-01,691281534,8728,6220.0,2508.0,0.2873510540788268,1.2625825471565395e-05,8.997781213695779e-06,7886,777,50,15,0,0,0,0,0,0,0
SAMN47830493,"Chicago (CHI-D1), IL",2024-12-08,668388973,3569,3050.0,519.0,0.1454188848416923,5.339705088162788e-06,4.563211128858644e-06,3138,371,46,14,0,0,0,0,0,0,0
SAMN47830501,"Chicago (CHI-D1), IL",2024-12-15,1281267625,27484,9494.0,17990.0,0.6545626546354243,2.145063175228516e-05,7.409849288902465e-06,24561,2675,172,76,0,0,0,0,0,0,0
SAMN47830509,"Chicago (CHI-D1), IL",2024-12-22,887068254,61709,36713.0,24996.0,0.4050624706282714,6.95651092480647e-05,4.1386894226517995e-05,57115,4005,505,83,0,0,1,0,0,0,0
SAMN47830516,"Chicago (CHI-D1), IL",2024-12-29,641884229,817,631.0,186.0,0.2276621787025703,1.272815194841e-06,9.830433144977612e-07,727,86,1,3,0,0,0,0,0,0,0
SAMN47830524,"Chicago (CHI-D1), IL",2025-01-05,1086788444,3567,3013.0,554.0,0.1553125876086347,3.282147523460417e-06,2.7723886986785075e-06,3259,283,21,3,0,0,0,0,0,0,1
SAMN47830532,"Chicago (CHI-D1), IL",2025-01-12,804962799,48197,26244.0,21953.0,0.4554847812104488,5.987481664975675e-05,3.260274888802656e-05,44242,3646,274,34,0,0,0,0,0,0,1
SAMN47830540,"Chicago (CHI-D1), IL",2025-01-19,813093816,7979,5218.0,2761.0,0.3460333375109662,9.813135757510176e-06,6.417463639890725e-06,7315,602,45,17,0,0,0,0,0,0,0
SAMN47830547,"Chicago (CHI-D1), IL",2025-01-26,798064856,2141,1514.0,627.0,0.2928538066324148,2.682739358716981e-06,1.89708892531411e-06,1976,148,16,1,0,0,0,0,0,0,0
SAMN47830555,"Chicago (CHI-D1), IL",2025-02-02,728315544,7349,5149.0,2200.0,0.2993604572050619,1.009040663836223e-05,7.069737893717122e-06,6807,482,42,18,0,0,0,0,0,0,0
SAMN47830560,"Chicago (CHI-D1), IL",2025-02-09,879612140,6431,4036.0,2395.0,0.3724148654952574,7.311176946693801e-06,4.588385967478803e-06,5802,584,43,2,0,0,0,0,0,0,0
SAMN47830569,"Chicago (CHI-D1), IL",2025-02-17,1082619783,66838,31957.0,34881.0,0.5218737843741584,6.173727937502505e-05,2.9518211750616052e-05,62306,4026,466,40,0,0,0,0,0,0,0
SAMN47830577,"Chicago (CHI-D1), IL",2025-02-23,1122642974,134280,63276.0,71004.0,0.5287756925826631,0.0001196106002619,5.636342226820902e-05,126019,7129,1059,72,0,0,0,0,0,0,1
SAMN47830583,"Chicago (CHI-D1), IL",2025-03-02,1273075576,46957,25386.0,21571.0,0.459377728560172,3.688469159665977e-05,1.994068575234374e-05,44097,2379,466,14,0,0,0,0,0,0,1
SAMN47830593,"Chicago (CHI-D1), IL",2025-03-09,925416999,4351,2463.0,1888.0,0.4339232360376925,4.701664227803967e-06,2.6615028713126113e-06,4092,232,26,1,0,0,0,0,0,0,0
SAMN56287609,"Chicago (CHI-D1), IL",2025-03-16,1112490786,11211,7166.0,4045.0,0.3608063509053608,1.0077386834195315e-05,6.441401663887578e-06,10608,532,62,9,0,0,0,0,0,0,0
SAMN56287610,"Chicago (CHI-D1), IL",2025-03-23,696020223,8628,5646.0,2982.0,0.3456189151599443,1.2396191539969093e-05,8.111833267810094e-06,8248,368,7,5,0,0,0,0,0,0,0
SAMN56287611,"Chicago (CHI-D1), IL",2025-03-30,814192772,10890,8448.0,2442.0,0.2242424242424242,1.3375210852399952e-05,1.0375921146104206e-05,10343,465,73,8,0,0,0,0,0,0,1
SAMN56287612,"Chicago (CHI-D1), IL",2025-04-06,1079991903,29165,20708.0,8457.0,0.2899708554774559,2.7004832090856888e-05,1.9174217827446063e-05,27491,1480,186,7,0,0,0,0,0,0,1
SAMN56287613,"Chicago (CHI-D1), IL",2025-04-13,1061714846,35017,25782.0,9235.0,0.2637290458919953,3.29815487952591e-05,2.428335639944513e-05,33399,1450,155,13,0,0,0,0,0,0,0
SAMN56287614,"Chicago (CHI-D1), IL",2025-04-20,735104598,3258,2879.0,379.0,0.1163290362185389,4.432022339220901e-06,3.916449452000299e-06,3064,161,29,4,0,0,0,0,0,0,0
SAMN56287615,"Chicago (CHI-D1), IL",2025-04-27,617290907,33618,22104.0,11514.0,0.3424950919150455,5.446054626558755e-05,3.580807646661155e-05,31821,1616,147,33,0,0,0,0,0,0,1
SAMN56287616,"Chicago (CHI-D1), IL",2025-05-04,689091675,45825,28239.0,17586.0,0.3837643207855973,6.650058571669727e-05,4.098003360728455e-05,43910,1730,165,20,0,0,0,0,0,0,0
SAMN56287617,"Chicago (CHI-D1), IL",2025-05-11,1221009127,59654,36703.0,22951.0,0.3847353069366681,4.8856309654759856e-05,3.005956236394292e-05,57328,1996,302,28,0,0,0,0,0,0,0
SAMN56287618,"Chicago (CHI-D1), IL",2025-05-18,1056225642,116355,76318.0,40037.0,0.3440935069399682,0.0001101611202883,7.225539407989492e-05,112014,3874,433,28,0,0,0,0,0,0,6
SAMN56287619,"Chicago (CHI-D1), IL",2025-05-25,1066199695,108535,63260.0,45275.0,0.4171465425899479,0.000101796127413,5.933222481366401e-05,103766,4224,490,54,0,0,0,0,0,0,1
SAMN56287620,"Chicago (CHI-D1), IL",2025-06-01,884943379,202326,117531.0,84795.0,0.4191008570327096,0.0002286315766649,0.0001328118869399,195117,6362,755,85,0,0,0,0,0,0,7
SAMN53135019,"Chicago (CHI-D1), IL",2025-06-08,1389689518,131007,63455.0,67552.0,0.5156365690382957,9.42706973774555e-05,4.566127842089689e-05,125812,4745,399,51,0,0,0,0,0,0,0
SAMN53135021,"Chicago (CHI-D1), IL",2025-06-15,1518775745,97706,46402.0,51304.0,0.5250854604630217,6.433207820289492e-05,3.0552239297184724e-05,93682,3623,367,34,0,0,0,0,0,0,0
SAMN53135023,"Chicago (CHI-D1), IL",2025-06-22,1493563799,284137,97082.0,187055.0,0.6583267930610938,0.0001902409526732,6.500023639097321e-05,272314,10262,1373,183,0,0,0,0,0,0,5
SAMN53135025,"Chicago (CHI-D1), IL",2025-06-29,1202839200,56358,17400.0,38958.0,0.6912594485254977,4.685414309743147e-05,1.446577397876624e-05,51039,4807,456,56,0,0,0,0,0,0,0
SAMN56287621,"Chicago (CHI-D1), IL",2025-07-06,1043771959,75361,28658.0,46703.0,0.6197237297806558,7.220063669098817e-05,2.7456188828310917e-05,67099,7229,930,87,0,0,0,0,0,0,16
SAMN56287622,"Chicago (CHI-D1), IL",2025-07-13,968287811,28588,2307.0,26281.0,0.9193018049531272,2.952427953262751e-05,2.38255606834237e-06,23727,4697,164,0,0,0,0,0,0,0,0
SAMN56287623,"Chicago (CHI-D1), IL",2025-07-20,1047343938,15316,970.0,14346.0,0.9366675372159832,1.4623658422320482e-05,9.261523027977844e-07,11805,3251,260,0,0,0,0,0,0,0,0
SAMN56287624,"Chicago (CHI-D1), IL",2025-07-27,1138062531,3861,854.0,3007.0,0.7788137788137788,3.39260795855162e-06,7.50398134318333e-07,3241,542,54,24,0,0,0,0,0,0,0
SAMN56287625,"Chicago (CHI-D1), IL",2025-08-03,1004199762,29120,10711.0,18409.0,0.6321771978021978,2.8998214401090448e-05,1.066620447974175e-05,23347,5611,141,21,0,0,0,0,0,0,0
SAMN56287626,"Chicago (CHI-D1), IL",2025-08-10,825053509,41412,18878.0,22534.0,0.544141794648894,5.019310814178962e-05,2.2880940198510204e-05,34779,6162,417,54,0,0,0,0,0,0,0
SAMN56287627,"Chicago (CHI-D1), IL",2025-08-17,922703072,5690,3617.0,2073.0,0.364323374340949,6.166664198555957e-06,3.920004289310527e-06,5053,620,17,0,0,0,0,0,0,0,0
SAMN56287628,"Chicago (CHI-D1), IL",2025-08-26,754882217,6125,389.0,5736.0,0.9364897959183672,8.113848574074967e-06,5.153121788269652e-07,4108,1537,480,0,0,0,0,0,0,0,0
SAMN56287629,"Chicago (CHI-D1), IL",2025-08-31,843277241,1715,,,,2.0337321068528634e-06,,1386,318,11,0,0,0,0,0,0,0,0
SAMN56287630,"Chicago (CHI-D1), IL",2025-09-07,1051052911,15553,,,,1.479754238557073e-05,,12371,3084,79,19,0,0,0,0,0,0,0
SAMN56287631,"Chicago (CHI-D1), IL",2025-09-14,866198745,5819,2836.0,2983.0,0.5126310362605259,6.717857805254613e-06,3.2740753970960787e-06,4906,839,68,6,0,0,0,0,0,0,0
SAMN56287632,"Chicago (CHI-D1), IL",2025-09-21,793885581,9062,1659.0,7403.0,0.8169278305009932,1.1414743153018672e-05,2.089721793297062e-06,7205,1712,129,16,0,0,0,0,0,0,0
SAMN56287633,"Chicago (CHI-D1), IL",2025-09-28,924560978,32301,18191.0,14110.0,0.436828581158478,3.4936581543678345e-05,1.967528419742586e-05,26949,4831,465,47,0,0,0,0,0,0,9
SAMN56287634,"Chicago (CHI-D1), IL",2025-10-05,930822834,35142,6450.0,28692.0,0.8164589380228786,3.7753693524024575e-05,6.92935300295824e-06,28374,6174,567,8,0,0,0,0,0,0,19
SAMN53135074,"Chicago (CHI-D1), IL",2025-10-12,1370742847,21751,7299.0,14452.0,0.6644292216449819,1.586803830317562e-05,5.324849964363885e-06,15725,5725,241,59,0,0,0,0,0,0,1
SAMN53135076,"Chicago (CHI-D1), IL",2025-10-19,1249038970,13532,2606.0,10926.0,0.8074194501921371,1.0833929384925436e-05,2.086404077528502e-06,8736,4578,188,23,0,0,0,0,0,0,7
SAMN54610796,"Chicago (CHI-D1), IL",2025-10-26,1331465224,12547,7921.0,4626.0,0.3686937116442177,9.423453030418764e-06,5.949085156128719e-06,10208,2219,99,21,0,0,0,0,0,0,0
SAMN54610797,"Chicago (CHI-D1), IL",2025-11-02,1126334418,28857,14618.0,14239.0,0.493433135807603,2.5620277191955613e-05,1.2978383476868946e-05,24076,4430,286,61,0,0,0,0,0,0,4
SAMN54610798,"Chicago (CHI-D1), IL",2025-11-09,1111330081,16785,9968.0,6817.0,0.4061364313375037,1.5103523504822688e-05,8.969432367951893e-06,14008,2562,172,41,0,0,0,0,0,0,2
SAMN54610799,"Chicago (CHI-D1), IL",2025-11-16,1462635149,20971,13052.0,7919.0,0.3776167087883267,1.433782034729428e-05,8.923619816550709e-06,18433,2284,231,22,0,0,0,0,0,0,1
SAMN54610800,"Chicago (CHI-D1), IL",2025-11-23,778960601,48690,26528.0,22162.0,0.4551653316902855,6.250637058856845e-05,3.4055637686866783e-05,43998,4221,385,83,0,0,0,0,0,0,3
SAMN54610801,"Chicago (CHI-D1), IL",2025-11-30,706857862,40571,15946.0,24625.0,0.6069606369081364,5.739626335230604e-05,2.255899079184324e-05,36693,3563,256,59,0,0,0,0,0,0,0
SAMN55038724,"Chicago (CHI-D1), IL",2025-12-07,967975246,52023,26113.0,25910.0,0.4980489398919708,5.374414295714335e-05,2.697692953193557e-05,46721,4858,376,63,0,0,0,0,0,0,5
SAMN55038725,"Chicago (CHI-D1), IL",2025-12-14,975560481,9657,6429.0,3228.0,0.3342652997825411,9.898924964755724e-06,6.59005784388677e-06,8652,929,69,5,0,0,0,0,0,0,2
SAMN55038726,"Chicago (CHI-D1), IL",2025-12-21,1164819437,19389,,,,1.664549833572188e-05,,17203,2103,53,28,0,0,0,0,0,0,2
