sra_accession,site_name,raw_n_read_pairs,raw_n_bases_approx,raw_mean_percent_gc,raw_mean_mean_seq_len,raw_mean_percent_duplicates,cleaned_n_read_pairs,cleaned_n_bases_approx,cleaned_mean_percent_gc,cleaned_mean_mean_seq_len,cleaned_mean_percent_duplicates
SAMN53034991,"Columbia WWTP, MO",7992878,2413600000.0,49.0,151.0,42.351206205141864,7935714,2277500000.0,49.0,143.52683986595284,42.40470898508308
SAMN53034992,"Columbia WWTP, MO",8003483,2416800000.0,48.0,151.0,47.17254124873973,7958679,2277300000.0,48.0,143.09352758165016,47.31801757350823
SAMN53034993,"Columbia WWTP, MO",8012875,2419300000.0,47.0,151.0,45.95981612395138,7966590,2308300000.0,47.0,144.90131505449634,46.16106882498337
SAMN55037917,"Columbia WWTP, MO",8006987,2417600000.0,47.0,151.0,43.35057443960593,7948080,2301300000.0,47.0,144.79081973256433,43.49993984553457
SAMN55037918,"Columbia WWTP, MO",7996162,2414400000.0,44.0,151.0,56.306491199570935,7952222,2352300000.0,44.0,147.92843635401528,56.600210392697015
SAMN55037919,"Columbia WWTP, MO",7993855,2413800000.0,50.0,151.0,35.66566763701318,7912281,2322800000.0,50.0,146.7992757082313,35.57196031610579
SAMN55037920,"Columbia WWTP, MO",7995588,2414300000.0,50.0,151.0,31.594309273116963,7941980,2316900000.0,50.0,145.88309942860596,31.660167142113742
SAMN55037922,"Columbia WWTP, MO",7999004,2415200000.0,48.0,151.0,39.39344788645596,7954743,2290400000.0,48.0,143.9814708658721,39.63731306800073
SAMN55037923,"Columbia WWTP, MO",8000914,2416000000.0,48.75000568685028,151.0,41.269848828820265,7948546,2237300000.0,48.0,140.75170578367414,41.408424098686645
SAMN55037924,"Columbia WWTP, MO",8011546,2419200000.0,48.0,151.0,37.09683602964829,7959980,2277900000.0,48.0,143.09877933110386,37.07424361312731
SAMN55037925,"Columbia WWTP, MO",8004429,2416800000.0,49.0,151.0,43.94209886349079,7949068,2273700000.0,49.0,143.0349215782278,44.18297717065542
SAMN55037926,"Columbia WWTP, MO",7984748,2411000000.0,51.0,151.0,33.87756808634494,7902696,2354100000.0,51.0,148.9749345033644,33.944547060407636
SAMN55037927,"Columbia WWTP, MO",7989935,2412600000.0,50.0,151.0,48.86110784613303,7951210,2262600000.0,50.0,142.3031780697529,49.37245473813498
SAMN55037928,"Columbia WWTP, MO",7989275,2412400000.0,49.0,151.0,45.832628220662485,7961223,2291600000.0,49.0,143.943762032542,46.07127800585821
SAMN55037929,"Columbia WWTP, MO",8001650,2416000000.0,49.0,151.0,57.85829406309145,7957904,2234700000.0,49.0,140.4207094606821,58.5676839166532
SAMN55037930,"Columbia WWTP, MO",8001709,2416100000.0,50.875008201372985,151.0,30.90643557442096,7928227,2254700000.0,51.0,142.21046212476006,31.133940003018974
SAMN55037931,"Columbia WWTP, MO",7993778,2413600000.0,48.0,151.0,40.554272821218554,7950463,2312200000.0,48.0,145.43082660720515,40.714253253103905
SAMN55037932,"Columbia WWTP, MO",8002221,2416100000.0,49.0,151.0,35.60710541242948,7952341,2286600000.0,49.0,143.79294191483993,35.71294047622669
SAMN55037933,"Columbia WWTP, MO",8000178,2415800000.0,50.0,151.0,36.371655258060656,7966689,2272800000.0,50.0,142.64695992274832,36.7402095995453
SAMN55037934,"Columbia WWTP, MO",8010079,2418600000.0,50.0,151.0,32.61098166936024,7965737,2294100000.0,50.0,144.01123781766836,32.84518568625172
SAMN55037935,"Columbia WWTP, MO",7997375,2414900000.0,50.0,151.0,38.24935184206968,7970220,2306800000.0,50.0,144.72638408977417,38.49049934669024
SAMN55037936,"Columbia WWTP, MO",7985545,2411400000.0,50.0,151.0,39.60011611981624,7962174,2289700000.0,51.0,143.79854949163382,39.927415986653315
SAMN55037937,"Columbia WWTP, MO",7998306,2415100000.0,50.0,151.0,43.47829860246665,7972708,2300100000.0,50.125004452690355,144.26499615939778,43.73728699686579
SAMN55037938,"Columbia WWTP, MO",7985245,2411200000.0,50.0,151.0,36.681140408578266,7942376,2256600000.0,50.0,142.07483982123233,36.95780029635452
SAMN55037939,"Columbia WWTP, MO",7996730,2414500000.0,50.0,151.0,59.48176426192333,7967304,2255800000.0,50.0,141.5902057960886,59.96725247248594
SAMN55037940,"Columbia WWTP, MO",7991505,2412900000.0,50.0,151.0,47.72638555785039,7924799,2219800000.0,50.0,140.07539408885955,48.07667649213701
SAMN55037941,"Columbia WWTP, MO",7993008,2413700000.0,52.0,151.0,39.490318809653296,7940230,2245200000.0,52.0,141.3974874783224,39.800504315106195
SAMN55039082,"Columbia WWTP, MO",8003214,2416700000.0,50.0,151.0,44.848618509979175,7961903,2263800000.0,50.0,142.1806454436835,45.28251723989064
SAMN55039083,"Columbia WWTP, MO",7993617,2413600000.0,51.0,151.0,46.65461719867025,7962288,2197100000.0,51.0,137.98744324495672,47.17318281712619
SAMN55039084,"Columbia WWTP, MO",7998289,2415200000.0,49.0,151.0,61.77673607418773,7960388,2172000000.0,49.0,136.43558134352244,62.71387877713947
SAMN52958976,"Columbia WWTP, MO",14997875,4078700000.0,48.86665944342115,136.0008051140578,34.4340999845943,14876265,3759900000.0,48.86635408820695,126.3926661699022,35.47284157420707
